Index,Lower,Upper,Predicted,Actual
70,5038.86,6047.78,5528.0,5538
71,4970.02,6176.36,5528.0,5558
72,4849.31,6248.95,5528.0,5573
73,4788.95,6313.07,5528.0,5564
74,4726.51,6435.43,5528.0,5764
75,4658.23,6468.86,5528.0,5835
76,4599.93,6532.21,5528.0,5848
77,4553.12,6540.91,5528.0,5958
78,4484.81,6579.16,5528.0,5955
79,4420.51,6638.26,5528.0,5977
80,4327.91,6684.87,5528.0,6107
81,4371.55,6731.93,5528.0,5695
82,4260.08,6838.26,5528.0,5698
83,4218.29,6956.43,5528.0,5573
84,4131.84,6993.04,5528.0,5553
85,4053.5,6979.27,5528.0,5613
86,4014.77,7114.08,5528.0,5523
87,3971.83,7134.22,5528.0,5501
