Index,Lower,Upper,Predicted,Actual
230,3405.32,10072.8,6739.06,6678.0
231,3326.9,10271.34,6799.12,6680.9
232,3322.56,10448.46,6885.51,6683.8
233,3375.48,10587.21,6981.35,6686.7
234,3547.18,10790.94,7169.06,6689.6
235,3374.54,10706.78,7040.66,6692.5
236,3274.49,10617.82,6946.16,6695.4
237,3198.57,10595.51,6897.04,6698.3
238,3150.31,10607.2,6878.76,6701.2
239,3120.68,10637.47,6879.07,6704.1
240,3085.8,10648.23,6867.01,6707.0
241,3065.91,10677.31,6871.61,6707.63
242,3054.71,10722.72,6888.71,6708.26
243,3057.79,10775.95,6916.87,6708.89
244,3053.66,10833.05,6943.36,6709.53
245,3043.76,10891.17,6967.47,6710.16
246,3027.11,10978.69,7002.9,6710.79
247,2990.71,11082.49,7036.6,6711.42
248,2987.37,11165.76,7076.56,6712.05
249,2978.97,11256.47,7117.72,6712.68
250,2980.59,11326.74,7153.67,6713.32
251,2975.8,11392.36,7184.08,6713.95
252,2953.19,11424.11,7188.65,6714.58
253,2912.5,11482.32,7197.41,6715.21
254,2932.19,11475.29,7203.74,6715.84
255,3067.33,11493.52,7280.43,6716.47
256,2881.8,11848.78,7365.29,6717.11
257,2763.39,12104.94,7434.16,6717.74
258,2706.75,12351.99,7529.37,6718.37
259,2697.15,12570.88,7634.01,6719.0
260,3004.06,12586.57,7795.32,6716.17
261,2909.48,12371.55,7640.51,6713.33
262,2814.82,12224.38,7519.6,6710.5
263,2681.01,12207.15,7444.08,6707.67
264,2509.81,12288.97,7399.39,6704.83
265,2302.79,12443.81,7373.3,6702.0
266,2265.88,12451.59,7358.74,6702.75
267,2238.3,12465.74,7352.02,6703.5
268,2216.82,12498.8,7357.81,6704.25
269,2214.57,12534.73,7374.65,6705.0
270,2214.05,12565.61,7389.83,6696.0
271,2217.38,12587.87,7402.62,6687.0
272,2172.63,12680.85,7426.74,6678.0
273,2112.69,12785.57,7449.13,6669.0
274,2130.93,12824.62,7477.78,6660.0
275,2144.22,12871.02,7507.62,6651.0
276,2170.79,12893.73,7532.26,6642.0
277,2189.14,12913.57,7551.35,6633.0
278,2188.44,12900.78,7544.61,6624.0
279,2209.02,12875.09,7542.06,6615.0
280,1506.04,13542.51,7524.28,6640.0
281,1640.03,13469.43,7554.73,6660.29
282,1522.11,13664.63,7593.37,6680.57
283,1455.3,13776.73,7616.02,6700.86
284,1436.89,13893.09,7664.99,6721.14
285,1454.95,13991.87,7723.41,6741.43
286,1554.18,14193.23,7873.7,6761.71
287,1319.67,14096.11,7707.89,6782.0
