Index,Lower,Upper
254,12760.3,35308.84
255,12452.31,35965.39
256,12880.68,35389.91
257,13380.72,35754.32
258,13393.42,35593.75
259,13601.19,35642.85
260,14118.38,36111.22
261,14354.72,36857.79
262,14303.17,35952.26
263,14727.51,35800.97
264,15441.59,36111.5
265,15010.88,35922.85
266,15518.53,36328.82
267,15453.7,36757.48
268,15976.6,36087.96
269,15847.76,36668.96
270,16274.09,36423.76
271,16691.1,36524.18
272,16403.79,36261.61
273,16829.22,36244.66
274,16679.13,36318.1
275,17014.48,36010.17
276,17054.57,36228.13
277,17438.0,35960.6
278,17552.3,35883.41
279,17612.0,35953.74
280,17776.76,35904.01
281,17798.52,36000.26
282,18235.46,36164.72
283,18030.4,35733.31
284,18552.78,35571.16
285,18199.39,35647.06
286,18105.21,35825.63
287,18850.17,35493.3
288,18778.01,35633.82
289,18683.24,35361.9
290,18952.49,35653.5
291,18989.44,35381.39
292,19447.52,35548.05
293,19388.54,35295.26
294,19189.88,35167.72
295,19031.67,34847.1
296,19671.81,35054.66
297,19402.41,34931.66
298,19389.36,34604.92
299,19598.22,34596.81
300,19667.88,34805.69
301,19677.63,34448.34
302,19810.48,34700.87
303,20083.79,34599.89
304,20246.12,34164.79
305,19775.35,34665.67
306,19895.69,34301.75
307,20415.59,34154.69
308,20302.18,34117.06
309,20546.59,34010.25
310,20667.84,34124.02
311,20439.74,34013.08
312,20582.78,33899.25
313,20596.98,33770.75
314,20616.81,33360.52
315,20661.26,33676.02
316,20697.18,33470.94
317,20923.94,33477.07
