Index,Lower,Upper
193,3617.1827932736987,4365.720293957923
194,3621.867803050742,4352.650609604952
195,3620.870894326462,4351.456802590998
196,3637.621881478477,4338.803763418144
197,3630.8124537075887,4336.526637503899
198,3653.895362872535,4333.9399052967665
199,3649.613206880398,4339.053900144604
200,3644.634874899664,4337.18841596263
201,3647.0968129994426,4345.701184015026
202,3650.173979841547,4345.157892098526
203,3654.255190899535,4321.078302582327
204,3679.668959236427,4323.67891685321
205,3666.1190013091723,4328.2173863570915
206,3667.922842397682,4317.801464538892
207,3647.1787563385997,4415.297171546081
208,3651.992660596881,4537.038565432424
209,3624.1757360072024,4639.981967251976
210,3621.8247437833656,4723.481732385401
211,3649.1064382798554,4823.716417534128
212,3650.181813263894,4880.213376418488
213,3674.885823071755,4939.950377160673
214,3726.492681864516,4977.081028046188
215,3711.732871667705,5047.443199559191
216,3744.2864048111837,5115.551131755346
217,3765.132699779451,5150.521661453865
218,3792.686283604454,5200.383157447199
219,3822.303026955345,5243.503351208575
220,3826.8098540856736,5246.57041438979
221,3841.14599083961,5293.817889132116
222,3865.6429955293515,5318.326519437189
223,3873.014513836022,5342.752988445229
224,3921.798053230897,5371.821291899136
225,3946.5323477027323,5385.919561122248
226,3962.525840392243,5391.4337950349
227,3977.446738644888,5410.378607583991
228,4009.415451665741,5433.213304150397
229,4017.181121232532,5436.723918871933
230,4045.457302957833,5447.272681386127
231,4031.445576527233,5481.936642515204
232,4066.7163778864424,5506.407553437365
233,4082.1789852367333,5483.543113108512
234,4108.844976178523,5482.703624842502
235,4102.352520074012,5531.144093769223
236,4130.168876098403,5501.5510196712485
237,4181.938196721646,5535.803667274479
238,4166.52182094431,5508.155247847717
239,4196.5160478653825,5562.848825313235
240,4226.643915236674,5551.845928585341
241,4241.187367325201,5537.138462514933
