Index,Lower,Upper
231,18440.77,26342.08
232,18485.01,26638.37
233,18714.65,26887.4
234,18921.19,27148.93
235,19081.29,27188.73
236,19140.66,27374.35
237,19331.35,27630.18
238,19406.79,27901.35
239,19619.95,28187.08
240,19917.34,28308.47
241,19962.51,28335.09
242,20147.54,28659.87
243,20123.48,28743.84
244,20132.2,28869.99
245,20214.93,28689.18
246,20467.05,29035.68
247,20485.8,29070.84
248,20860.9,29207.0
249,20685.73,29251.51
250,21012.51,29402.61
251,21025.65,29476.8
252,21034.2,29351.48
253,21241.58,29507.98
254,21290.14,29717.06
255,21452.27,29656.96
256,21510.76,29648.25
257,21728.58,29838.87
258,21841.29,29701.98
259,21883.08,29827.34
260,21990.35,29817.14
261,21995.33,29928.16
262,22052.83,29976.26
263,22224.31,29906.89
264,22433.58,29993.98
265,22460.78,29793.04
266,22268.79,30023.26
267,22557.09,30004.84
268,22623.57,30162.12
269,22674.61,30060.51
270,22888.02,30107.76
271,22677.83,30270.63
272,22898.66,29951.31
273,23004.86,30033.4
274,23097.74,30144.99
275,23156.64,29987.53
276,23222.8,30109.67
277,23076.59,30080.03
278,23242.95,29993.96
279,23359.57,29911.22
280,23441.08,30083.21
281,23418.28,30154.62
282,23417.24,29985.09
283,23514.57,29954.69
284,23665.3,29881.06
285,23615.16,29970.13
286,23804.2,30034.48
287,23700.99,29939.87
288,23813.24,30005.19
