Project,MAE,MAPE,RMSE,MSE
digester,639.9060680478673,2.362611074029812,707.3486000639604,500342.0420124446
collections,5127.931587203528,10.97428254650591,6040.402346842649,36486460.51174218
commons-fileupload,297.93016732636,5.741934313269446,359.690153243765,129377.00634052313
jxpath,963.8540754743954,3.4254420753600106,1242.072130462691,1542743.177272128
commons-jelly,89.24331422327083,0.20888422352892314,105.82637361675178,11199.221352872339
dbutils,38.69132266274504,0.5803037189279654,44.00289251164701,1936.2545493915609
cocoon,50515.96657856872,23.812120577593028,56931.65168983334,3241212964.132504
cayenne,10150.640685242426,4.816017317895257,10281.301035742777,105705150.9875655
hive,100954.14351335002,20.235565903766854,114783.70967248053,13175300006.1763
bcel,1383.2912064797079,2.464494163157358,1772.6048713942228,3142128.030090529
zookeeper,1727.6110563015434,2.82390029213098,1909.2159966476645,3645105.721855335
felix,32271.955092233464,15.741338651579817,37803.900118133315,1429134864.1418
beanutils,718.5268521370439,1.286990659009625,981.3192534636042,962987.4772183656
commons-cli,1078.9582434498357,16.321966431640057,1151.047416136404,1324910.1541942921
commons-exec,219.78276947622885,4.353969600933404,268.87911199778057,72295.97686871502
net,695.4548249735711,2.428527144292783,939.9560850404359,883517.4418045431
batik,32394.476388855954,18.7325777219744,45635.95719052736,2082640588.6956458
ognl,175.32734245529974,0.6505212104931127,211.82441139708595,44869.58126372192
santuario,4194.0754737307,3.647851670873582,5457.386864248148,29783071.38606824
daemon,47.68496867224059,1.201370253208209,54.70786672606613,2992.950681717013
commons-jexl,2466.309932142982,20.212166833033628,2932.689847192583,8600669.739826456
httpcore,3399.4110081914023,4.906011857179328,4795.5986213228525,22997766.136833645
thrift,938.8341703779697,4.769034964944727,1006.2069351501661,1012452.3963442906
configuration,2076.923441572026,5.311153041542565,2934.1667247605737,8609334.368692193
commons-io,5651.119582202453,20.498659416329,7309.889228977439,53434480.53992039
httpclient,17490.884198109918,20.936588310349784,19017.52543641124,361666273.7245485
archiva,15815.756699276586,22.568697459790005,22817.502049644023,520638399.7855091
validator,1174.0483261329116,7.869374113193612,1363.564926369006,1859309.3084237124
dbcp,534.8133888554236,3.608818288075039,723.8022617482445,523889.71411187423
codec,1204.104668385929,7.9118349478285595,1435.3098376175415,2060114.3299616931
vfs,767.1768748439058,2.991993605803481,1227.557274762253,1506896.8628217294
