Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,DLM,MCMC,538.05,1.99,619.85,384213.1
collections,DLM,MCMC,5687.82,12.27,6516.55,42465371.51
commons-fileupload,DLM,MCMC,339.98,6.55,405.27,164245.63
jxpath,DLM,MCMC,920.3,3.27,1212.53,1470229.56
commons-jelly,DLM,MCMC,96.2,0.23,112.88,12742.38
dbutils,DLM,MCMC,49.89,0.75,54.84,3007.91
cocoon,DLM,MCMC,40281.21,18.25,48283.98,2331342995.85
cayenne,DLM,MCMC,5619.57,2.62,5941.14,35297156.31
hive,DLM,MCMC,96384.96,19.22,109326.56,11952296068.87
bcel,DLM,MCMC,1588.64,2.83,1925.84,3708873.06
zookeeper,DLM,MCMC,1560.18,2.53,1693.0,2866238.78
felix,DLM,MCMC,28382.25,13.82,31987.49,1023199825.0
beanutils,DLM,MCMC,708.47,1.27,968.53,938047.2
commons-cli,DLM,MCMC,1050.75,15.76,1127.66,1271613.21
commons-exec,DLM,MCMC,212.1,4.21,264.12,69760.15
net,DLM,MCMC,713.56,2.49,964.5,930263.82
batik,DLM,MCMC,29035.99,17.26,39739.44,1579223231.36
ognl,DLM,MCMC,233.64,0.87,266.18,70849.35
santuario,DLM,MCMC,4158.21,3.59,5121.72,26232013.95
daemon,DLM,MCMC,45.42,1.14,52.49,2755.01
commons-jexl,DLM,MCMC,2440.39,20.17,2902.14,8422444.25
httpcore,DLM,MCMC,2992.91,4.31,4339.2,18828684.27
thrift,DLM,MCMC,838.88,4.23,921.2,848610.82
configuration,DLM,MCMC,2303.94,5.89,3114.22,9698347.08
commons-io,DLM,MCMC,5485.99,19.86,7143.8,51033891.05
httpclient,DLM,MCMC,20908.15,24.42,21998.43,483931080.95
archiva,DLM,MCMC,14234.14,20.37,21078.03,444283501.91
validator,DLM,MCMC,830.5,5.44,1066.85,1138174.04
dbcp,DLM,MCMC,483.13,3.25,684.71,468829.71
codec,DLM,MCMC,1198.52,7.87,1437.2,2065536.44
vfs,DLM,MCMC,764.07,2.99,1229.05,1510571.83
