Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-mcmc,726.75,2.77,902.82,815091.08
collections,ETS,stan-mcmc,5697.26,10.62,6474.41,41917941.15
commons-fileupload,ETS,stan-mcmc,357.16,6.3,424.35,180076.66
jxpath,ETS,stan-mcmc,842.49,2.84,1111.37,1235141.46
commons-jelly,ETS,stan-mcmc,121.46,0.28,161.3,26017.33
dbutils,ETS,stan-mcmc,64.78,0.97,70.95,5033.53
cocoon,ETS,stan-mcmc,39039.05,14.01,47318.06,2238998486.75
cayenne,ETS,stan-mcmc,5358.18,2.44,5694.22,32424153.34
hive,ETS,stan-mcmc,92157.85,14.8,104816.86,10986574917.12
bcel,ETS,stan-mcmc,1630.52,2.94,1981.96,3928171.47
zookeeper,ETS,stan-mcmc,1531.03,2.41,1657.15,2746150.48
felix,ETS,stan-mcmc,27969.93,11.62,31679.63,1003598702.66
beanutils,ETS,stan-mcmc,570.49,1.0,755.09,570155.26
commons-cli,ETS,stan-mcmc,935.54,11.92,995.58,991183.77
commons-exec,ETS,stan-mcmc,221.87,4.14,273.97,75061.86
net,ETS,stan-mcmc,609.77,2.04,834.34,696125.93
batik,ETS,stan-mcmc,29114.74,25.71,39385.82,1551243045.08
ognl,ETS,stan-mcmc,267.43,0.98,314.11,98663.82
santuario,ETS,stan-mcmc,3891.59,3.21,4605.97,21214966.61
daemon,ETS,stan-mcmc,42.07,1.04,48.15,2318.59
commons-jexl,ETS,stan-mcmc,2402.0,15.57,2829.23,8004517.46
httpcore,ETS,stan-mcmc,3133.46,4.15,4467.92,19962273.88
thrift,ETS,stan-mcmc,1001.74,4.81,1070.95,1146923.63
configuration,ETS,stan-mcmc,2289.44,5.3,3073.4,9445786.58
commons-io,ETS,stan-mcmc,5368.0,14.7,7016.85,49236222.06
httpclient,ETS,stan-mcmc,20898.19,33.47,21973.65,482841202.23
archiva,ETS,stan-mcmc,13901.76,14.2,20437.51,417691929.18
validator,ETS,stan-mcmc,783.53,4.72,993.93,987895.36
dbcp,ETS,stan-mcmc,471.61,3.34,690.01,476111.27
codec,ETS,stan-mcmc,1167.14,6.89,1402.85,1967985.49
vfs,ETS,stan-mcmc,711.51,2.59,1148.26,1318497.12
