RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
3.367295829986474,3.2213065757711092,3.1354942159291497,2.5303576481378562,3.784189633918261,3.1506115414840274,5.181783550292085,3.5229343997453917,3.044522437723423,2.3890504800855394,0.0,1.1165674294446044
3.367295829986474,3.2509550168577848,3.1354942159291497,2.558168490003216,3.784189633918261,3.4278867630429706,5.181783550292085,3.9859219817022757,3.044522437723423,2.7754459509672804,0.0,1.4346301640813062
3.367295829986474,3.34958717520043,3.1354942159291497,1.6266213632767887,3.784189633918261,3.15934132737676,5.181783550292085,5.444584010695092,3.044522437723423,2.913873994087725,0.0,1.8484004381816508
3.367295829986474,3.4355668607679313,3.1354942159291497,2.5885415349710765,3.784189633918261,4.135276053562999,5.181783550292085,3.4838043528688196,3.044522437723423,3.0311827966667626,0.0,1.1237727890438152
3.367295829986474,2.6957167629958625,3.1354942159291497,2.508411550384759,3.784189633918261,1.9563328943118528,5.181783550292085,3.7271021000089872,3.044522437723423,2.8046423763306456,0.0,2.631184009603336
3.367295829986474,3.3766143354514577,3.1354942159291497,2.918346193523808,3.784189633918261,3.2905870549228644,5.181783550292085,1.7781280227239704,3.044522437723423,2.6714650911449285,0.0,1.585167120687748
3.367295829986474,3.0971703324903515,3.1354942159291497,2.6628458653217684,3.784189633918261,4.160734804028064,5.181783550292085,4.250562627761445,3.044522437723423,3.36918729337819,0.0,2.92905264182389
3.367295829986474,3.2781694398222516,3.1354942159291497,2.979842920970091,3.784189633918261,2.330935497887018,5.181783550292085,2.949687618243125,3.044522437723423,2.9634981289621964,0.0,1.0719316407769108
3.367295829986474,3.2815823462262945,3.1354942159291497,3.299335763915944,3.784189633918261,1.1570418809541125,5.181783550292085,3.0299816812856695,3.044522437723423,2.778991211432447,0.0,1.1873509366159447
3.367295829986474,3.775444203621866,3.1354942159291497,2.4125505621074623,3.784189633918261,2.1448663218755226,5.181783550292085,3.433452066293485,3.044522437723423,1.4028818707115356,0.0,2.3310965086424416
3.367295829986474,4.090196733058047,3.1354942159291497,3.2989345767966562,3.784189633918261,3.043860515455002,5.181783550292085,3.2566558558543135,3.044522437723423,2.2814450523132863,0.0,0.0
3.367295829986474,3.109790921283329,3.1354942159291497,2.1824384198104934,3.784189633918261,3.5628135314454177,5.181783550292085,2.4585880684719434,3.044522437723423,3.248013582691205,0.0,3.3351921673020044
3.367295829986474,2.3021051645351385,3.1354942159291497,2.907744684963866,3.784189633918261,4.512040302654215,5.181783550292085,3.150386242688902,3.044522437723423,2.59472495097551,0.0,1.339601451888619
3.367295829986474,3.369082987080001,3.1354942159291497,2.225105485657284,3.784189633918261,2.6565918990816493,5.181783550292085,3.4829319774037946,3.044522437723423,1.1709895691513716,0.0,0.31263840625761985
3.367295829986474,3.012645691213781,3.1354942159291497,2.6628319613192986,3.784189633918261,3.3308439598409163,5.181783550292085,5.777006287943323,3.044522437723423,2.4670429839899395,0.0,0.0
3.367295829986474,3.409311471824341,3.1354942159291497,2.3076804996181495,3.784189633918261,2.9682269178136735,5.181783550292085,4.368754560313945,3.044522437723423,2.545590653769527,0.0,0.9983763286787608
3.367295829986474,3.6448726940246297,3.1354942159291497,2.939089793625412,3.784189633918261,4.487640910560505,5.181783550292085,4.386687705043874,3.044522437723423,2.300584235849308,0.0,2.367165757181322
3.367295829986474,3.280529219258363,3.1354942159291497,3.58312421591448,3.784189633918261,3.2369250294833867,5.181783550292085,2.4870413831800517,3.044522437723423,2.444452457455522,0.0,1.0252506334158678
3.367295829986474,3.0399385215636716,3.1354942159291497,2.197842374968008,3.784189633918261,2.9535860210917093,5.181783550292085,5.654559579532673,3.044522437723423,2.773210290153836,0.0,4.217317781450692
3.367295829986474,3.200493263776802,3.1354942159291497,2.2120260163943324,3.784189633918261,4.112879868704292,5.181783550292085,1.8391555318390693,3.044522437723423,1.4276634517726787,0.0,1.1299883109231785
3.367295829986474,3.722369779850843,3.1354942159291497,1.710203022089685,3.784189633918261,3.68636218237192,5.181783550292085,2.811479249684058,3.044522437723423,2.9922502109776836,0.0,1.9410143380813896
3.367295829986474,3.4534006106591595,3.1354942159291497,2.266359109496586,3.784189633918261,2.197419359131997,5.181783550292085,2.902312211442845,3.044522437723423,1.848003971272643,0.0,0.0
3.367295829986474,3.7076333220800013,3.1354942159291497,2.8708191686018054,3.784189633918261,3.1979119252785417,5.181783550292085,4.055933232339029,3.044522437723423,2.335660177499151,0.0,0.0
3.367295829986474,3.487539262942952,3.1354942159291497,2.151683197897655,3.784189633918261,2.615207958428999,5.181783550292085,3.4353966085385745,3.044522437723423,2.0430432258003117,0.0,0.8701872036061097
