Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,BIC
digester,DLT,loglinear,stan-map,420.09,1.6,506.61,256653.8,2241.894491748816
collections,DLT,loglinear,stan-map,4434.71,8.27,5150.61,26528822.39,2132.3736966198417
commons-fileupload,DLT,loglinear,stan-map,315.15,5.61,380.31,144637.5,1227.0453526170602
jxpath,DLT,loglinear,stan-map,980.52,3.3,1263.73,1597007.48,1976.8862819772912
commons-jelly,DLT,loglinear,stan-map,170.32,0.4,199.35,39740.51,2107.2962586514673
dbutils,DLT,loglinear,stan-map,295.12,4.41,315.19,99343.15,1095.6553465726956
cocoon,DLT,loglinear,stan-map,26509.95,9.52,31452.44,989255693.58,853.8301461999295
cayenne,DLT,loglinear,stan-map,12048.72,5.45,12222.13,149380387.51,284.147821647
hive,DLT,loglinear,stan-map,70190.04,11.09,84488.05,7138229957.94,1318.0363667707743
bcel,DLT,loglinear,stan-map,1327.27,2.4,1671.73,2794684.01,1851.0209120357658
zookeeper,DLT,loglinear,stan-map,1439.73,2.27,1603.93,2572577.99,323.90391285265014
felix,DLT,loglinear,stan-map,15528.65,6.1,22085.47,487767815.27,749.96296682001
beanutils,DLT,loglinear,stan-map,724.31,1.27,1004.85,1009722.24,2379.043997878594
commons-cli,DLT,loglinear,stan-map,1000.18,12.77,1070.4,1145749.54,2173.3537212567016
commons-exec,DLT,loglinear,stan-map,202.93,3.78,249.44,62222.5,1273.854705952615
net,DLT,loglinear,stan-map,595.98,2.0,798.1,636958.85,1921.5474173993616
batik,DLT,loglinear,stan-map,37897.88,34.25,50727.77,2573306958.83,373.0222533891171
ognl,DLT,loglinear,stan-map,140.58,0.52,161.46,26070.41,757.4200640520825
santuario,DLT,loglinear,stan-map,3891.58,3.19,5024.03,25240858.27,2351.1637012567016
daemon,DLT,loglinear,stan-map,28.14,0.7,33.45,1118.75,959.2477586668829
commons-jexl,DLT,loglinear,stan-map,2157.91,13.83,2562.08,6564245.12,1842.4563078559224
httpcore,DLT,loglinear,stan-map,1670.81,2.22,2439.23,5949821.85,1777.0838216888378
thrift,DLT,loglinear,stan-map,671.69,3.24,718.88,516793.59,617.7821382990643
configuration,DLT,loglinear,stan-map,1519.07,3.49,2303.21,5304754.02,1980.293401152371
commons-io,DLT,loglinear,stan-map,5001.28,13.6,6611.48,43711718.08,1955.9111521239615
httpclient,DLT,loglinear,stan-map,19182.24,30.62,21031.6,442328257.47,1628.1689657142936
archiva,DLT,loglinear,stan-map,12944.46,12.65,19681.39,387357235.72,1081.133733225416
validator,DLT,loglinear,stan-map,571.74,3.44,743.3,552501.99,1963.9539860822085
dbcp,DLT,loglinear,stan-map,507.24,3.62,731.58,535216.57,1809.3709186668827
codec,DLT,loglinear,stan-map,1077.43,6.36,1298.66,1686513.92,1782.6719278559226
vfs,DLT,loglinear,stan-map,709.16,2.61,999.05,998101.41,1960.8937786668826
