Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE,WBIC
digester,DLT,loglinear,stan-mcmc,720.99,2.75,858.94,737781.05,2231.5106731422534
collections,DLT,loglinear,stan-mcmc,4241.21,7.92,4917.7,24183789.37,2123.7597189073167
commons-fileupload,DLT,loglinear,stan-mcmc,302.49,5.38,367.12,134775.57,1196.1913704936937
jxpath,DLT,loglinear,stan-mcmc,1021.39,3.44,1310.05,1716227.83,1962.2153844966444
commons-jelly,DLT,loglinear,stan-mcmc,32.19,0.08,41.43,1716.41,2029.530369542069
dbutils,DLT,loglinear,stan-mcmc,283.12,4.23,301.26,90758.67,1099.1182532019607
cocoon,DLT,loglinear,stan-mcmc,21795.69,8.03,23958.56,574012402.15,859.3728033833333
cayenne,DLT,loglinear,stan-mcmc,13082.12,5.91,13295.53,176771037.88,275.57963504615384
hive,DLT,loglinear,stan-mcmc,70280.79,11.12,84019.03,7059196830.43,1315.6702197966104
bcel,DLT,loglinear,stan-mcmc,1331.08,2.41,1679.37,2820271.13,1862.055575343066
zookeeper,DLT,loglinear,stan-mcmc,1439.27,2.28,1603.65,2571688.08,313.22092926666664
felix,DLT,loglinear,stan-mcmc,16133.78,6.36,22469.26,504867707.1,746.8617678529412
beanutils,DLT,loglinear,stan-mcmc,347.57,0.61,396.75,157407.14,2355.573331772185
commons-cli,DLT,loglinear,stan-mcmc,206.33,2.69,251.11,63056.83,2149.329960589147
commons-exec,DLT,loglinear,stan-mcmc,203.47,3.78,250.57,62786.79,1276.703460988889
net,DLT,loglinear,stan-mcmc,555.61,1.86,738.3,545085.76,1933.5778734626867
batik,DLT,loglinear,stan-mcmc,38149.32,34.62,51641.68,2666863201.38,366.20958786250003
ognl,DLT,loglinear,stan-mcmc,139.56,0.51,162.51,26410.78,701.3670158208955
santuario,DLT,loglinear,stan-mcmc,3825.93,3.14,4907.53,24083858.88,2339.692449627907
daemon,DLT,loglinear,stan-mcmc,27.84,0.69,33.57,1127.04,975.7643557503759
commons-jexl,DLT,loglinear,stan-mcmc,2241.84,14.33,2688.72,7229200.87,1843.7991323369233
httpcore,DLT,loglinear,stan-mcmc,1812.4,2.39,2714.16,7366647.57,1779.3428748173083
thrift,DLT,loglinear,stan-mcmc,660.12,3.18,733.17,537535.26,623.7295656242424
configuration,DLT,loglinear,stan-mcmc,1599.46,3.69,2353.06,5536870.9,1977.843431411966
commons-io,DLT,loglinear,stan-mcmc,4917.53,13.36,6512.54,42413163.14,1952.0472045858269
httpclient,DLT,loglinear,stan-mcmc,19275.04,30.78,21177.58,448489865.28,1624.26730648
archiva,DLT,loglinear,stan-mcmc,14116.75,13.97,20748.33,430493241.32,1083.0581578980393
validator,DLT,loglinear,stan-mcmc,555.81,3.35,714.82,510972.6,1950.0577330643835
dbcp,DLT,loglinear,stan-mcmc,502.53,3.59,734.33,539241.35,1804.6985729984965
codec,DLT,loglinear,stan-mcmc,1042.56,6.15,1260.42,1588646.57,1784.241698436923
vfs,DLT,loglinear,stan-mcmc,737.67,2.74,961.72,924896.84,1958.8908790496241
