S1905_Actual,S1905_Simulated
0.0,1.528042598680665
0.0,2.883968677828119
0.0,1.1254892697091508
0.0,2.9736184445326517
0.0,1.4309980511134823
0.0,2.036394786811059
0.0,2.358819865117122
0.0,0.537501363723541
0.0,0.2098965862173776
0.0,1.2229588415227952
0.0,2.0822387747449533
0.0,0.0
0.0,1.294290600336279
0.0,0.9567820292072505
0.0,0.05449443128406539
0.0,1.8507204937891375
0.0,0.9468991531869837
0.0,2.0608006496347353
0.0,2.6862511478236284
0.0,1.9937163994666947
0.0,0.7795095347521486
0.0,1.6949521629728928
0.0,1.1454666381646799
0.0,0.3980462032534775
