RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.0,0.0,0.0,0.0,0.0,0.7908364257211205,1.1580229743815478,0.0,0.0,0.0,0.0,0.0,0.0,0.09570708395718364,0.18684864167280277,0.0,0.0,0.09570708395718364,0.18684864167280277
0.0,0.0,0.0,0.0,0.0,0.0,0.7667871704884506,1.5700004200825703,0.0,0.0,0.0,0.0,0.0,0.0,0.09173093557754416,0.06621541053800702,0.0,0.0,0.09173093557754416,0.10159737027031182
0.0,0.0,0.0,0.0,0.0,0.0,0.7421452665515222,1.0481638239969877,0.0,0.0,0.0,0.0,0.0,0.0,0.08773891430800683,0.22701423310113683,0.0,0.0,0.08773891430800683,0.006471340090533129
0.0,0.0,0.0,0.0,0.0,0.0,0.71688076489204,1.9756304770263402,0.0,0.0,0.0,0.0,0.0,0.0,0.08373089291046804,0.24602247577970257,0.0,0.0,0.08373089291046804,0.15886311979500425
0.0,0.0,0.0,0.0,0.0,0.0,0.6909613873399651,1.7315595119169358,0.0,2.405674725985224e-07,0.0,0.0,0.0,0.0,0.07970674261074254,0.10719619344179364,0.0,0.0,0.07970674261074254,0.2225907278350284
0.0,0.0,0.0,0.0,0.0,0.0,0.6643522786120012,1.3361999084661595,0.0,0.0,0.0,0.0,0.0,0.0,0.0756663330737376,0.04948105431698585,0.0,0.0,0.0756663330737376,0.18939544448141446
0.0,0.0,0.0,0.0,0.0,0.0,0.6370157244482506,1.059294925659819,0.0,0.0,0.0,0.0,0.0,0.0,0.07160953237812315,0.17987283322529357,0.0,0.0,0.07160953237812315,0.21919726864372657
0.0,5.163501448676508e-08,0.0,0.0,0.0,0.0,0.6089108301281418,0.9616375485161587,0.0,0.0,0.0,0.0,0.0,0.0,0.06753620699048736,0.12520670555565672,0.0,0.0,0.06753620699048736,0.23506423732887227
0.0,0.0,0.0,0.0,0.0,0.0,0.5799931524885629,1.3350669034544258,0.0,0.0,0.0,0.0,0.0,0.0,0.06344622173896218,0.15539817792628652,0.0,7.839084339529229e-07,0.06344622173896218,0.18893210152831877
0.0,0.0,0.0,0.0,0.0,2.9232388899561775e-07,0.5502142771329512,0.7989370044401742,0.0,0.0,0.0,1.967446841957952e-06,0.0,0.0,0.059339439786308804,0.21265860574661816,0.0,2.1214634148598464e-07,0.059339439786308804,0.3083241352087881
0.0,0.0,0.0,0.0,0.0,0.0,0.5195213307335447,1.2363917918691618,0.0,0.0,0.0,0.0,0.0,0.0,0.055215722602446685,0.12036323411961826,0.0,0.0,0.055215722602446685,0.05900769010642126
0.0,0.0,0.0,0.0,0.0,0.0,0.4878564160895768,0.9397751812179903,0.0,0.0,0.0,0.0,0.0,0.0,0.05107492993641532,0.24235495100750776,0.0,0.0,0.05107492993641532,0.22444740433977428
0.0,0.0,0.0,0.0,0.0,0.0,0.45515595477864185,1.3624164775839123,0.0,0.0,0.0,0.0,0.0,0.0,0.04691691978775157,0.022860492390909537,0.0,0.0,0.04691691978775157,0.2906712141806287
0.0,0.0,0.0,0.0,0.0,0.0,0.4213499186481877,0.5011861691339347,0.0,0.0,0.0,0.0,0.0,0.0,0.04274154837727106,0.31005296569478424,0.0,0.0,0.04274154837727106,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3863609267981219,0.7949330460268791,0.0,0.0,0.0,0.0,0.0,0.0,0.038548670117235125,0.0,0.0,0.0,0.038548670117235125,0.16298851708769532
0.0,0.0,0.0,0.0,0.0,0.0,0.3501031787754985,1.590934424231608,0.0,0.0,0.0,0.0,0.0,0.0,0.03433813758089155,0.2129894708022534,0.0,0.0,0.03433813758089155,0.3587906826940565
0.0,0.0,0.0,0.0,0.0,0.0,0.3124811869859139,0.8737940511113,0.0,0.0,0.0,0.0,0.0,0.0,0.03010980147137047,0.22044518338499758,0.0,0.0,0.03010980147137047,0.10805208192518301
0.0,0.0,0.0,0.0,0.0,0.0,0.27338826119463594,0.6788225365887891,0.0,0.0,0.0,1.0192292073638583e-07,0.0,0.0,0.025863510589919297,0.16908536434605292,0.0,0.0,0.025863510589919297,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.23270468455819335,1.0145167310589684,0.0,0.0,0.0,0.0,0.0,0.0,0.021599111803461798,0.2573960974176025,0.0,0.0,0.021599111803461798,0.21291410181903522
0.0,0.0,0.0,0.0,0.0,0.0,0.19029550263309924,1.7261074725004262,0.0,0.0,0.0,0.0,0.0,0.0,0.017316450011460875,0.2127505727726998,0.0,0.0,0.017316450011460875,0.2879988042328394
0.0,0.0,0.0,0.0,0.0,2.09925702386875e-06,0.1460078224319825,1.8481309557332959,0.0,0.0,0.0,0.0,0.0,0.0,0.0130153681120703,0.19978751994824806,0.0,2.1974483368507797e-06,0.0130153681120703,0.10465390748441004
0.0,0.0,0.0,6.291206098939511e-07,0.0,0.0,0.09966748517328153,0.3109179455106883,0.0,0.0,0.0,0.0,0.0,0.0,0.008695706967553821,0.20601079218941695,0.0,0.0,0.008695706967553821,0.13762536615796733
