Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,10196.0,110.88,6867.28,47159479.79
collections,DGLM,3304.74,6.72,1873.27,3509142.67
commons-fileupload,DGLM,718.76,14.68,780.66,609434.74
jxpath,DGLM,1348.62,4.45,1413.01,1996604.3
commons-jelly,DGLM,3068.76,8.87,1935.98,3748017.49
dbutils,DGLM,1276.98,22.96,1322.11,1747972.05
cocoon,DGLM,37747.91,17.08,12832.23,164666027.64
cayenne,DGLM,3423.11,1.58,2455.32,6028618.42
hive,DGLM,20756.28,3.13,5083.35,25840467.01
bcel,DGLM,1413.88,2.49,1534.89,2355883.95
zookeeper,DGLM,1966.59,3.24,2019.27,4077452.49
felix,DGLM,16125.5,6.71,4512.81,20365410.38
beanutils,DGLM,2856.23,5.39,1845.09,3404371.2
commons-cli,DGLM,1534.1,25.07,2067.91,4276237.49
commons-exec,DGLM,853.59,20.38,882.12,778142.57
net,DGLM,1091.02,4.01,557.82,311163.33
batik,DGLM,16617.56,10.78,14033.18,196930210.51
ognl,DGLM,1572.58,6.36,1712.51,2932692.89
santuario,DGLM,9844.6,9.19,3758.21,14124142.36
daemon,DGLM,776.19,24.5,782.63,612511.2
commons-jexl,DGLM,2262.58,17.54,1470.6,2162678.7
httpcore,DGLM,3910.39,5.36,3095.42,9581650.65
thrift,DGLM,1423.35,7.66,1361.42,1853461.24
configuration,DGLM,1368.54,3.57,1023.03,1046591.51
commons-io,DGLM,2073.95,8.0,1907.41,3638231.73
httpclient,DGLM,8869.85,11.95,4720.84,22286297.61
archiva,DGLM,15606.91,16.12,4206.23,17692382.98
validator,DGLM,458.75,3.03,516.9,267184.04
dbcp,DGLM,424.59,2.8,504.6,254619.57
codec,DGLM,1116.24,7.36,967.89,936820.31
vfs,DGLM,1617.89,6.69,1052.55,1107867.18
