RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,6.327936783729195,6.198847681621536,1.9459101490553132,2.218394196647229,2.772588722239781,3.5535918260069694,5.717027701406222,5.778379256897303,4.248495242049359,3.9342304055250064
5.717027701406222,5.279833896333681,5.814130531825066,5.9556410552664705,6.311734809152915,6.144463230114149,1.9459101490553132,1.9678096471975155,2.833213344056216,3.87972207691207,5.700443573390687,5.049927893813167,4.248495242049359,4.122297684186857
5.720311776607412,5.680480932420215,5.811140992976701,4.699518815271127,6.302618975744905,6.5970326458980475,1.9459101490553132,2.26569350272947,2.9444389791664403,3.4678876254384234,5.69035945432406,5.4033981843725885,4.248495242049359,4.132977035354016
5.720311776607412,4.802780649767771,5.811140992976701,5.6539857508000235,6.313548046277095,6.970566466186023,1.9459101490553132,2.463312833721992,2.995732273553991,4.802181200492763,5.680172609017068,6.150437085188185,4.2626798770413155,3.6106233003698835
5.720311776607412,5.877929673886357,5.811140992976701,5.763558266870208,6.3080984415095305,5.705594785322094,1.791759469228055,2.126681952836759,2.995732273553991,3.1889141231491855,5.631211781821365,5.603257169296182,4.23410650459726,3.3033713597106695
5.726847747587197,5.433084308710443,5.811140992976701,5.513981397002243,6.298949246855942,5.9378668113175195,1.791759469228055,1.322036709604193,3.091042453358316,3.8009451789613333,5.634789603169249,5.249199287329079,4.23410650459726,4.234620751070213
5.733341276897746,5.546681718097964,5.811140992976701,5.570446574173988,6.298949246855942,6.205613869944509,1.791759469228055,2.0159352175506533,2.772588722239781,3.632925574484061,5.66988092298052,6.703949228956186,4.23410650459726,3.956191778361088
5.703782474656201,4.955534169841542,5.808142489980444,5.95080213838596,6.278521424165844,6.056119378928226,1.791759469228055,2.1480446347979396,2.302585092994046,3.5722973268348968,5.6131281063880705,4.9373867308392185,4.23410650459726,3.4671682341916026
5.717027701406222,4.764897427065346,5.808142489980444,5.526741824558375,6.278521424165844,6.268451758183449,1.791759469228055,2.6785418950966555,2.4849066497880004,3.256976776850434,5.616771097666572,6.405868830644065,4.23410650459726,3.449277992568611
5.71042701737487,5.180464432285912,5.808142489980444,5.238063478464021,6.2878585601617845,6.306317650540913,1.791759469228055,2.959230716435661,2.302585092994046,3.806159720401502,5.616771097666572,5.9528889066365105,4.23410650459726,4.214728694223056
5.707110264748875,5.755462269336176,5.755742213586912,4.738535318715944,6.3080984415095305,6.3734840996806,1.791759469228055,2.5795367419144215,2.3978952727983707,4.276854038531176,5.66988092298052,5.566959472056884,4.23410650459726,3.758492602772637
5.707110264748875,5.269787528286419,5.755742213586912,5.359918106447782,6.3080984415095305,6.383048510349343,1.791759469228055,1.6697129111515445,2.302585092994046,5.570306695110764,5.66988092298052,6.486821214596063,4.23410650459726,4.3056898961481975
