RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
4.663439094112067,5.103045554277688,3.1780538303479458,3.6392436171574167,4.736198448394496,4.451906016607533,1.3862943611198906,1.6701743144112084
4.68213122712422,5.697997722725609,3.258096538021482,3.595860128602956,4.564348191467836,4.6114471668588966,1.3862943611198906,2.0907280961224872
4.948759890378168,4.229676782056849,3.258096538021482,3.0972343900465296,3.784189633918261,4.64753746887305,1.3862943611198906,1.7318530218246648
4.955827057601261,4.155215828619258,3.258096538021482,2.5057991043685224,4.02535169073515,4.6911358143784865,1.3862943611198906,1.4424090803912797
4.955827057601261,5.6603046271893245,3.258096538021482,3.3306230883124197,4.060443010546419,4.622257866175519,1.3862943611198906,1.4968129810459192
4.969813299576001,5.942094710473039,3.258096538021482,3.1487991170198373,4.143134726391533,3.940810339730663,1.3862943611198906,2.243383139604905
4.969813299576001,4.981141623878826,3.258096538021482,3.1447923439039744,4.127134385045092,4.795342916839489,1.3862943611198906,1.6720267644830447
4.962844630259907,4.730900692107875,3.2188758248682006,4.432494477175241,4.23410650459726,4.552308249572978,1.3862943611198906,1.5073676543924655
4.962844630259907,5.375906583492198,3.5553480614894135,3.979436630667781,4.23410650459726,4.056810613605907,1.3862943611198906,1.8498207174558585
4.962844630259907,4.9340665066246086,3.5553480614894135,2.9613969683600025,4.23410650459726,4.502398234243374,1.3862943611198906,1.1718864155778517
4.962844630259907,5.448288534465307,3.5553480614894135,3.235554678592007,4.2626798770413155,4.82813686008448,1.3862943611198906,1.9689395446145812
4.962844630259907,5.374167600659555,3.5553480614894135,3.6482440839281827,4.248495242049359,4.588782389724397,1.3862943611198906,1.4333820425173507
