Index,Lower,Upper
199,26408.532481586,39251.59491744584
200,26569.6187154828,39734.77152568802
201,26955.43941361968,39486.64653590537
202,27143.879105716438,40061.866976753954
203,27043.485135137915,40222.0367303654
204,27143.05534437092,40252.92403076291
205,27484.268350292685,40373.64147662314
206,27475.285150590185,40793.10335933813
207,27930.73777187583,40575.58599927281
208,28002.410016549948,40878.765764680844
209,28335.989467324653,40917.17431800496
210,28328.135329045093,41036.46464089419
211,28463.518178403687,41261.887428119015
212,28688.20800168806,41356.339204464326
213,28379.727812379904,40938.357277941795
214,28463.69759224619,40988.058348584105
215,28040.23660998519,40733.21923595619
216,28053.394903603108,40718.66130856293
217,28170.247140008312,40611.19619448923
218,27885.703405937278,40254.82650704256
219,27785.484254556424,40083.796427706715
220,27607.462946050633,39739.354293719945
221,27582.793027600765,39743.269119227734
222,27511.199526783425,39589.47583669241
223,27480.3440343092,39474.03219078346
224,27272.66256328916,39555.42069410259
225,27195.168819377217,39196.01147427514
226,27203.135626491814,39274.7787171464
227,27399.67328154712,39124.945528404016
228,27289.325565297844,38797.6694608383
229,27259.269914230375,38757.39015553901
230,27621.277654316327,38585.5772297446
231,27243.708692765325,38676.624715530066
232,27509.17777081062,38654.48497381791
233,27442.538926773876,38643.04352404741
234,27559.365235958623,38506.52021449806
235,27790.726736753728,38553.1208865947
236,27785.277160413,38481.2156291853
237,27912.27653749886,38499.64140460198
238,28036.009028142296,38423.05250591099
239,27855.84556621293,38461.088789028814
240,27836.877557408792,38175.59796689399
241,27889.740172037644,38095.36075559876
242,28124.537815211177,37923.57476276776
243,27914.48452401445,38105.65804240809
244,27962.90278370596,37792.81678911357
245,27884.255068298127,37620.90784047222
246,27810.827148172946,37668.045774829414
247,27651.84967429015,37575.31318263306
248,27918.020585184546,37528.11201768595
