RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated
4.454347296253507,5.156074832496742,3.044522437723423,3.697697263544742,2.70805020110221,3.461420735491537,4.31748811353631,4.495037878812216
4.454347296253507,3.9732956396587387,3.044522437723423,4.153792675771231,2.70805020110221,3.9275133192901794,4.31748811353631,4.152023168063148
4.454347296253507,5.275307522843701,3.044522437723423,3.8446425989373743,2.70805020110221,3.026201803548089,4.330733340286331,4.033767310498799
4.51085950651685,4.4072534303736415,3.091042453358316,4.080531771149111,2.70805020110221,3.14483511032179,4.709530201312334,3.9430615548069192
4.672828834461906,6.628903283000181,3.1780538303479458,3.8539274438836926,2.70805020110221,2.648522102666214,4.736198448394496,4.7122250741500835
4.672828834461906,4.328639631696095,3.1780538303479458,3.5280123741088225,2.70805020110221,4.433939789447918,4.74493212836325,3.6643593131789673
4.6913478822291435,7.695691469971933,3.258096538021482,3.1028018049429003,2.70805020110221,2.473208053348441,4.574710978503383,4.143714929733711
4.955827057601261,4.335614255875122,3.258096538021482,3.828487059498779,2.70805020110221,1.9781811429360956,3.970291913552122,4.07907715573406
4.969813299576001,4.786166244014045,3.258096538021482,4.032148387362346,2.70805020110221,3.570101369869436,4.143134726391533,4.5619450474400605
4.969813299576001,5.654740332587167,3.258096538021482,3.8777770942226977,2.70805020110221,3.77373963866563,4.127134385045092,4.0056428096476395
4.962844630259907,4.787515685423032,3.5553480614894135,4.072693955475776,2.5649493574615367,3.207984811925219,4.248495242049359,4.711140819881539
4.962844630259907,5.2474435625389875,3.5553480614894135,3.9264514040794363,2.5649493574615367,5.964532845643529,4.23410650459726,4.709565350247399
