Index,Lower,Upper,Predicted,Actual
116,18585.61,19350.24,18972.27,18993
117,18442.95,19584.88,19013.88,18864
118,18342.37,19735.79,19058.0,19155
119,18283.21,19919.63,19100.41,19564
120,18221.57,20055.79,19142.62,19567
121,18162.41,20178.54,19185.24,19672
122,18052.11,20233.16,19225.43,19684
123,18029.52,20372.77,19267.95,19690
124,18006.85,20521.51,19310.53,19710
125,17967.88,20592.73,19353.16,19830
126,17944.45,20768.75,19395.83,19842
127,17869.98,20812.02,19438.54,19872
128,17887.89,20986.44,19481.27,19885
129,17960.95,21130.15,19524.02,19909
130,17962.84,21214.93,19567.12,20441
131,17946.04,21243.69,19609.91,20461
132,17964.05,21385.52,19652.38,20460
133,17978.58,21483.1,19695.18,20835
134,17884.32,21605.58,19739.7,20878
135,17919.42,21685.04,19780.81,20773
136,17879.07,21775.36,19823.36,20835
137,17864.29,21862.46,19866.19,20935
138,17850.03,21879.21,19910.74,21395
139,17895.41,21986.95,19952.5,21026
140,17948.28,22049.28,19995.33,21050
141,18011.83,22145.87,20038.16,21052
142,17956.07,22216.42,20081.0,21053
143,17883.95,22264.89,20123.83,21062
144,17807.11,22360.94,20166.67,20846
