Index,Lower,Upper,Predicted,Actual
233,55967.49,56528.41,56232.7,56293
234,55821.93,56632.52,56239.99,56165
235,55703.98,56700.73,56236.26,56165
236,55590.36,56846.92,56231.8,56205
237,55565.98,56904.16,56233.16,56187
238,55479.14,56988.41,56249.15,56169
239,55409.95,57057.87,56265.46,55927
240,55401.85,57138.32,56262.92,55901
241,55318.2,57196.45,56275.2,57653
242,55277.58,57241.88,56296.25,57687
243,55229.72,57339.08,56292.18,57694
244,55215.79,57381.13,56298.01,57944
245,55160.41,57438.65,56260.91,58144
246,55093.54,57441.9,56269.46,58129
247,55047.8,57466.15,56292.9,58101
248,54966.39,57477.28,56273.56,58351
249,54914.98,57548.13,56263.7,58431
250,54860.39,57601.96,56282.84,58286
251,54548.01,57353.9,56075.37,58130
252,54789.81,57595.18,56276.38,57995
253,54766.71,57585.7,56306.4,58168
254,54746.5,57670.75,56290.56,58484
255,54739.7,57697.52,56304.3,58590
256,54699.51,57737.77,56300.03,58595
257,54659.69,57780.24,56306.24,58602
258,54643.24,57808.08,56311.91,58602
259,54630.22,57775.18,56326.32,58821
260,54556.96,57801.33,56268.93,57593
261,54487.03,57853.12,56245.34,59608
262,54477.93,57900.88,56243.74,57603
263,54540.34,57926.9,56242.55,57483
264,54487.72,57900.89,56239.39,57498
265,54473.5,57940.35,56235.61,57498
266,54468.31,57994.78,56265.14,57486
267,54436.16,58054.12,56259.92,57336
268,54378.49,58066.15,56255.65,57242
269,54368.04,58103.16,56254.42,57242
270,54289.7,58119.0,56231.93,57215
271,54246.08,58179.61,56246.7,57235
272,54247.05,58085.4,56247.24,57227
273,54195.29,58164.82,56256.57,57237
274,54189.17,58180.28,56223.84,56965
275,54101.96,58150.26,56192.7,55725
276,54098.74,58172.58,56185.67,55864
277,54109.8,58221.35,56210.37,55890
278,54050.3,58266.09,56193.3,55900
279,54031.03,58431.88,56206.8,56105
280,53966.6,58411.26,56209.12,56335
281,53954.6,58454.35,56241.24,56339
282,53951.04,58445.92,56220.91,56435
283,53924.72,58417.24,56225.05,52906
284,53862.12,58398.9,56174.28,52925
285,53720.42,58387.39,56129.99,52956
286,53724.63,58432.78,56129.41,53146
287,53737.41,58466.86,56136.74,53350
288,53756.79,58463.21,56167.08,53352
289,53760.35,58451.85,56171.63,53369
290,53699.48,58479.08,56154.86,53389
