Index,Lower,Upper,Predicted,Actual
282,210249.71,210966.48,210588.25,216654
283,210121.81,211105.65,210587.25,216766
284,210003.38,211199.81,210586.97,216796
285,209887.29,211321.72,210587.24,216791
286,209825.27,211383.91,210587.96,216806
287,209707.51,211515.9,210589.06,216901
288,209631.66,211561.57,210590.41,216904
289,209602.46,211640.51,210591.98,217199
290,209537.72,211642.99,210593.72,217254
291,209504.98,211711.71,210595.79,217252
292,209474.75,211802.22,210597.79,217444
293,209419.85,211843.47,210599.87,217977
294,209314.57,211883.87,210602.02,212480
295,209251.93,211952.03,210604.22,212481
296,209261.75,212045.92,210606.47,212536
297,209194.72,212057.19,210608.76,218208
298,209088.1,212138.23,210611.06,218571
299,209066.74,212107.95,210613.57,218771
300,208976.03,212221.22,210615.93,218837
301,209032.7,212272.55,210618.27,218832
302,209012.93,212242.56,210620.62,219094
303,208918.5,212367.1,210623.16,219146
304,208942.21,212400.08,210625.52,219441
305,208915.29,212433.43,210627.88,219442
306,208873.42,212429.59,210630.8,219895
307,208843.68,212429.05,210633.16,220107
308,208789.74,212463.82,210635.51,220179
309,208803.79,212482.46,210637.84,220179
310,208720.87,212528.3,210640.18,220299
311,208686.21,212584.23,210642.52,220494
312,208616.06,212620.94,210644.85,220096
313,208543.54,212665.7,210646.45,219961
314,208560.06,212692.47,210648.77,219966
315,208471.71,212675.57,210650.75,220169
316,208429.42,212759.24,210653.24,220212
317,208387.2,212792.74,210655.18,220222
318,208358.12,212776.65,210657.48,220234
319,208317.36,212840.84,210659.78,220302
320,208298.93,212848.47,210662.05,220536
321,208286.82,212929.87,210664.33,220690
322,208255.05,212892.4,210666.6,220805
323,208205.94,212933.13,210668.88,220835
324,208164.35,212939.58,210671.14,220906
325,208072.84,212967.79,210673.41,220876
326,208138.59,212957.09,210675.66,220993
327,208078.19,212960.84,210677.93,221092
328,208025.83,213014.2,210680.18,221053
329,208037.83,213013.42,210682.42,221036
330,208060.21,213098.42,210684.43,221426
331,208059.22,213105.29,210686.64,221561
332,208040.36,213179.11,210688.86,221686
333,208019.67,213196.21,210691.12,221781
334,207994.15,213208.16,210693.36,221876
335,207951.04,213283.13,210695.57,221931
336,207845.6,213236.66,210697.77,222181
337,207930.83,213234.89,210699.97,222203
338,207877.96,213288.33,210702.16,222290
339,207864.69,213335.26,210704.57,222540
340,207929.17,213307.28,210706.75,222562
341,207782.86,213351.09,210708.93,222652
342,207871.26,213485.87,210711.28,222682
343,207788.79,213491.05,210713.45,222847
344,207816.59,213488.85,210715.61,222801
345,207843.86,213546.08,210717.77,222841
346,207860.5,213601.41,210719.94,222818
347,207702.54,213683.06,210721.69,222828
348,207765.5,213702.88,210723.84,222830
349,207796.89,213648.23,210726.02,222878
350,207644.46,213663.41,210728.15,222875
351,207582.3,213664.88,210730.46,223227
352,207555.46,213641.75,210732.58,223285
