Index,Lower,Upper,Predicted,Actual
116,18517.1,19367.39,18928.26,18993
117,18326.87,19529.38,18955.12,18864
118,18187.34,19682.0,18953.78,19155
119,18112.89,19760.25,18965.81,19564
120,17997.12,19859.53,18945.64,19567
121,17844.21,19984.49,18939.65,19672
122,17732.36,20045.88,18937.37,19684
123,17653.79,20155.98,18949.41,19690
124,17603.95,20275.04,18937.56,19710
125,17501.66,20355.84,18961.83,19830
126,17549.88,20362.79,18966.24,19842
127,17483.94,20509.68,18983.71,19872
128,17368.73,20560.22,18986.58,19885
129,17339.05,20607.58,18981.34,19909
130,17337.5,20678.69,19005.28,20441
131,17284.28,20802.03,18984.49,20461
132,17190.24,20859.92,19009.56,20460
133,17204.82,20924.63,19040.1,20835
134,17100.28,20944.53,19074.49,20878
135,17069.8,20994.31,19108.01,20773
136,17008.27,21035.28,19098.59,20835
137,17009.46,21116.91,19134.11,20935
138,16964.03,21146.35,19153.8,21395
139,16979.48,21219.25,19159.95,21026
140,16978.46,21220.67,19090.2,21050
141,16935.09,21187.94,19119.45,21052
142,16887.5,21277.75,19092.97,21053
143,16830.21,21323.75,19121.43,21062
144,16794.35,21350.98,19135.77,20846
