Index,Lower,Upper
118,30270.11,31172.58
119,30100.44,31368.54
120,29930.08,31527.06
121,29829.88,31635.95
122,29702.43,31679.42
123,29599.16,31776.85
124,29556.26,31836.44
125,29444.08,31933.03
126,29355.96,32019.06
127,29316.51,32102.79
128,29273.52,32174.29
129,29250.87,32284.09
130,29161.15,32288.12
131,29156.99,32375.3
132,29102.28,32461.23
133,29044.0,32501.3
134,28973.8,32604.67
135,28891.02,32692.18
136,28834.35,32716.47
137,28831.49,32734.87
138,28850.06,32776.49
139,28812.87,32857.78
140,28745.71,32990.77
141,28721.54,32983.86
142,28656.4,33014.65
143,28617.6,33017.09
144,28590.44,33170.74
145,28632.0,33221.97
146,28626.16,33254.72
147,28551.98,33275.68
