Index,Lower,Upper
199,15056.71,15589.49
200,14931.73,15739.35
201,14841.57,15819.5
202,14768.2,15913.83
203,14722.59,15971.88
204,14619.26,15994.86
205,14600.97,16129.04
206,14513.34,16175.14
207,14489.85,16247.37
208,14456.19,16279.42
209,14475.42,16356.23
210,14432.32,16400.7
211,14365.16,16441.73
212,14348.32,16491.04
213,14264.98,16558.81
214,14280.1,16564.25
215,14219.82,16588.81
216,14132.6,16665.6
217,14076.61,16722.16
218,14094.06,16791.13
219,14006.39,16893.1
220,14092.48,16834.34
221,14084.38,16860.07
222,14007.73,16902.51
223,14010.17,16904.81
224,14002.67,16930.47
225,13955.54,16950.05
226,13917.38,16980.34
227,13875.45,16980.32
228,13878.99,17002.99
229,13857.5,17030.84
230,13901.63,17074.21
231,13831.71,17051.26
232,13834.29,17119.73
233,13808.4,17189.58
234,13833.51,17200.88
235,13814.28,17288.27
236,13793.63,17271.75
237,13799.68,17303.46
238,13788.79,17261.68
239,13785.56,17307.3
240,13762.92,17400.29
241,13743.9,17381.59
242,13714.18,17437.9
243,13713.55,17468.33
244,13718.36,17503.23
245,13647.9,17507.93
246,13601.4,17539.09
247,13626.46,17613.95
248,13555.83,17640.56
