S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
1.0986122886681098,1.098607464109944,0.0,1.6673150755118407,0.6931471805599453,1.1056266642274308,1.992430164690206,2.612788774682368,3.3202283191284883,2.0494519355260974,0.0,0.0,0.0,0.0,0.5108256237659906,0.9118090976275225
1.0986122886681098,1.098603191259609,0.0,1.8034934414211548,0.6931471805599453,1.1737791398190782,1.9694406464655074,2.461094093047549,3.3262343431887,2.495369564803922,0.0,0.0,0.0,0.0,0.6061358035703155,0.994166385875383
1.0986122886681098,1.0986111343117257,0.0,1.5350487566532132,0.6931471805599453,1.2812937953076253,1.9459101490553132,2.4996175434049053,3.332204510175204,1.947329765315814,0.0,0.0,0.0,0.0,0.6931471805599453,0.722886944272791
1.0986122886681098,1.0986060402568603,0.0,2.497973889381588,0.6931471805599453,1.4133388048830513,1.9299098077088723,3.1190376564596183,3.332204510175204,1.7193900012322343,0.0,0.0,0.0,0.0,0.6359887667199967,1.0180768796032493
1.0986122886681098,1.0986061922745527,0.0,0.9968964528644448,0.6931471805599453,1.1166943536197875,1.9136492868370918,2.8371526474421174,3.332204510175204,1.8633517341652563,0.0,0.0,0.0,0.0,0.5753641449035619,0.71446424427247
1.0986122886681098,1.0986083250583547,0.0,1.965011566304145,0.6931471805599453,1.2617443938347885,1.8971199848858813,2.0156379883009024,3.332204510175204,0.25334901916274033,0.0,0.0,0.0,0.0,0.5108256237659907,1.2796705551636813
1.0986122886681098,1.0986007630766477,0.0,1.6063810193121797,0.6931471805599453,1.3972754126284497,1.8803128665695001,2.34252337389119,3.332204510175204,1.4319831681133297,0.0,7.015894036725094e-07,0.0,0.0,0.44183275227903923,0.8606407807835853
1.0986122886681098,1.098609799845379,0.0,1.5888962963021815,0.6931471805599453,1.021018420045935,1.8632184332102,2.465103786416963,3.332204510175204,2.458845230328236,0.0,0.0,0.0,0.0,0.36772478012531734,1.2036879637677735
1.0986122886681098,1.098609796197742,0.0,0.35699138604403347,0.6931471805599453,0.8992054757902115,1.8458266904983307,3.2094850765562595,3.332204510175204,2.2399715645806126,0.0,0.0,0.0,0.0,0.2876820724517809,0.8282398264986798
1.0986122886681098,1.0986109751465132,0.0,0.08447346666908118,0.6931471805599453,1.1597168373786015,1.8281271133989299,2.7340967688088362,3.332204510175204,0.6826139361801431,0.0,0.0,0.0,0.0,0.20067069546215122,0.7483953596661619
1.0986122886681098,1.0986098794635246,0.0,2.9170405274187567,0.6931471805599453,1.0331672607709192,1.8101086078962514,2.9801629748628797,3.332204510175204,1.121764166085204,0.0,0.0,0.0,6.741488711217211e-07,0.1053605156578263,0.6581117091105183
1.0986122886681098,1.09861064379007,0.0,1.5618715483637857,0.6931471805599453,1.1069554883207222,1.791759469228055,2.4605373528728687,3.332204510175204,2.406765792179783,0.0,0.0,0.0,0.0,0.0,0.9689624343074558
