,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29,Simulated_30,Simulated_31,Simulated_32,Simulated_33,Simulated_34,Simulated_35,Simulated_36,Simulated_37,Simulated_38,Simulated_39,Simulated_40,Simulated_41,Simulated_42,Simulated_43,Simulated_44,Simulated_45,Simulated_46,Simulated_47,Simulated_48,Simulated_49
168,53350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,53354.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,53359.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,53364.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,53369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154,50223.29033496154
174,,50132.89457732017,42728.256213255096,53484.66901530934,43485.100523574845,46662.3656852021,49448.94316145604,53189.2732733897,47975.87180563997,51544.559706962296,52350.213961739115,50113.48294578795,51429.530931483205,46220.27447073501,56309.898252497085,43514.637064194096,55047.238871467285,44939.258472774476,42716.57974898825,55476.30734009628,46170.7802784488,50075.675210315574,54609.87616494463,47034.36565216525,56956.73910837559,46664.738017778676,49761.65167787516,56759.74761815772,51662.88618703034,49629.34987661459,55176.68200427599,52695.31760803104,52537.38158272042,54061.27070479337,53094.52603585541,53414.310545441214,45276.87926935646,53954.27269425019,52074.52200441258,57726.32969998989,51506.51699352547,50937.08398135188,42744.53189708874,43766.43200446332,47406.598945653335,53316.70969648477,44992.90084765728,50619.01802547565,42592.61193943549,48157.9859694055,58173.40008259773
175,,42656.48600693344,38090.20048494375,49037.50387437168,55009.061893459155,48528.493520649514,46512.11818927703,46490.00702884504,57865.005369550214,58505.089008658746,53509.11309822656,48372.50755527324,40822.59245076937,50119.056169626936,48866.5792930425,47129.06182613591,50834.795021082435,51843.332619970846,52424.78855797094,45600.513737298206,53500.23648547785,51417.645132565754,47416.094686228804,49273.51105392845,46213.079135691,56571.95012980073,46206.71091420016,55861.77121243132,43613.785091359314,55075.212958583186,53011.297305976055,51461.429989100674,52886.416130057965,49912.02001399347,42023.93670524051,50180.073497548634,48199.64395862799,55587.6699323859,51549.37639659325,51092.05360580729,54104.702569876084,49702.88187319134,45686.95664635937,46187.721710629914,42465.77784808808,54198.81961695566,46065.598951560496,44248.626787916,47896.695198776775,40458.79746871128,53831.21750357344
176,,46819.10279131423,52194.23170179129,47033.10918591245,49929.364730643174,49641.70044446509,48204.739951209085,49227.83687828415,50607.335788790675,56418.66383505884,48309.05570017101,45115.48053186305,53914.671018352536,45016.12314344878,50470.036385341875,44498.13444074908,54745.99830298244,53386.26560900024,54313.87062067701,43910.523023516114,53016.67422895661,49479.86611303872,48517.403837108766,49691.974151058246,45865.42015420577,52739.555193389504,47943.87564040533,54672.8872547711,45446.09408755094,52689.530750134385,54503.22686707004,47310.08043658767,47741.02152624346,53674.371568543924,48664.311586213844,46925.564936615294,56627.119870756396,55758.66565879853,53619.26274413976,46765.610428836015,49918.52314204779,55136.78056388967,47522.7869810206,53375.88617385827,47387.033314254375,56488.809512221225,41200.98832378542,47880.92668499434,45074.73523396652,57029.27784566677,56257.879033918754
177,,48303.21154267857,44830.364522444106,50059.75798240671,55598.123171285835,44044.20434258034,56650.64721422007,55041.99632870372,45303.33828344146,58600.07364732935,40206.71059218744,55377.51656581024,44810.98886901535,48329.946704310925,51924.61907750241,49693.27329975304,47245.729184352764,47025.70813326234,49347.34446181972,48063.85898703673,47976.180720934826,49924.001756304395,53598.46910034957,52139.146542598945,54592.82856386992,49441.21340801121,45995.79489303566,49790.66696647215,51083.82512016696,51516.773916513775,45465.053847493946,48065.61916579977,51902.17236836052,48440.24648907365,54510.0034854997,55274.03577197919,47572.08991079885,45456.249759291895,50525.44782955623,51127.07066471258,48379.116488708125,50855.448966108845,48488.537309884916,56694.40235547835,50468.59846721062,53231.11495233931,57013.26569811172,47117.15809098727,43217.24272521397,53814.38785533911,55155.745301099334
178,,50579.62336708787,53940.45475754661,48242.95849334357,50012.93657443245,43171.47203991387,47869.048437665406,52826.481450184,45392.142149764106,47496.78835865748,53011.505174726466,47817.57639480035,51045.98515898146,49015.41746547321,53179.454624746075,54531.0487023438,51662.91048286213,50068.85407660703,54147.883963087006,50715.50219532934,52064.03824827599,49695.807183540725,48257.95659516026,47098.74010140938,50200.423342748385,59346.70939827277,50021.40468200565,50538.6270197165,47975.72721139077,51246.943670553796,53899.31938655882,51334.12153722822,41855.25210822154,38681.249952228274,47073.237736395524,44422.268220520265,61211.042168842185,46474.68702955136,52384.39429952488,57331.85872128565,50006.98750154548,48859.811705260836,46436.9109150783,49893.5737679851,52859.17210248225,50841.48371446663,49953.5426053897,49889.25185748208,53384.312872651746,45396.48223408826,51556.45515330956
179,,48378.64676450647,50027.66827052253,61220.756193970774,44071.59152782546,50567.734297369076,49307.626878569674,45589.04674158199,50351.78287245197,56134.446669201134,44765.269154456495,53728.69152451544,55336.602076651645,55626.954958123184,44353.02467960002,50584.91524975094,45197.139776636555,50532.62852681965,55468.79836608678,40822.13908248395,42576.56076253922,50065.53597316209,50903.70359980288,51308.378999229244,48784.18225511304,47571.08547704599,53919.5240707334,48002.69029593454,51558.40409860355,51014.53355508978,52495.066765190924,53332.62946302095,42215.30682340758,49523.59637767164,52761.914831375194,53409.56752733369,49897.23699560936,45186.67464396342,49674.16019314533,45046.75997558248,44138.201709228546,45081.0920947102,47975.82245814274,42270.00985853191,53358.10941653479,46674.77248576335,53102.58259582529,55659.38501924575,51527.09870690375,49089.022458741754,44760.13044512963
180,,46438.520927489626,53660.45153274726,53086.37389507238,51062.67815687746,43619.00159963806,46722.26055344527,53792.24550667611,51127.4232170528,52441.03209646005,49560.445349136295,50759.37673847781,52634.79182987438,54955.15758349391,56597.56425921703,52998.063461747864,45397.21058749298,50092.15949479783,53082.246491622725,51714.331720724855,49170.845909209565,47470.29772700264,50732.0945959199,45486.89806289614,47711.8512248173,48877.37392788717,44955.22961748949,47262.19954163525,48022.233050782816,49161.97450280662,46624.94078337699,58197.57593123699,45275.89958723499,51895.668304745916,59149.85388255873,51156.30789727652,49696.182081377585,47820.668963338314,49749.04281241324,47473.607084158575,51122.92805998639,53123.17239674653,49173.97614666004,52786.50344763567,49946.05227544922,56827.147680596245,50973.55153940883,47813.863549226146,50866.518875351176,56314.22418710609,46928.73669951313
181,,49301.364965334775,45764.16332488051,53785.950813809155,48367.7613833433,55509.965096440974,49462.80419253977,65459.94832441389,56789.12636548961,45990.41542375322,54346.53159859275,51820.77296201563,51252.68563579825,53397.69558347706,50470.99459373766,44040.37407366424,46406.41113382301,49972.97755032164,50811.13324048398,46348.26296563495,42997.0982792182,49003.600532049015,52039.632652074186,50345.76505720122,52828.18168619416,49224.680447049665,46568.31436589361,52554.95448936833,55049.91682952378,42264.24191724569,50329.6008489657,52995.68682191415,50589.162006398,45125.43534144013,49815.423619065165,57020.660180022045,54646.623115162954,52477.35106403846,44395.417883046495,52337.56670866107,51692.37227677164,49687.325382489566,53768.08296474264,51566.03294177925,45256.318821498004,51001.37223225406,50655.23403792067,48007.73922279742,45572.33322740935,46803.04754192136,49839.40923552745
182,,53576.28293519081,44436.71267775674,46971.58611217374,55364.208398646726,57465.989837688845,48755.84966284729,52877.19969909413,47073.50930269713,54817.191074339054,50591.90666170291,49249.3767334927,45707.74895003675,52497.56835411532,51769.41786528417,48622.75623188541,50227.76875655153,47036.47673883812,47921.27826890209,51695.569833836096,44696.82198727675,49175.424087195766,45305.793106786274,48273.46075051424,50402.072617451304,48270.3336463771,53939.51624426543,48597.355334836946,44901.425458738595,50777.308671117986,49854.59192651387,51377.76947683706,45913.596437206,51666.42437133164,45169.17904823964,44519.37499315303,51493.933233376134,50261.4069457802,46778.914545542604,50802.08019093017,60852.283464672684,50656.526234732795,62744.91370235939,55412.063960743726,50616.83399401667,56442.27099509128,48159.108790803664,51280.38722104996,49566.55980938286,47018.25561570322,52864.959802734054
183,,53296.87703904129,57002.47761539043,50027.46838242702,43773.6370639582,46484.49419612364,54530.31466098119,49462.20540703044,53890.87084099757,50633.83656663236,47620.939468634424,53502.35872572054,57189.56922465086,52465.93007613317,49735.399659047216,54269.25304330106,48499.9249768169,51997.63269604347,51690.11849316968,45836.44449398146,49923.54848484005,59696.85321293043,52846.723762426736,48040.96593202713,55448.34508295299,49961.45202679909,45960.87453799092,58573.484271806476,54540.028074690556,46551.23691732257,54495.880497402184,50718.146881001805,45983.74681576117,52136.03969517286,44311.68608980493,45353.838773888914,55766.047773246806,49856.82103495113,53531.647563240964,48551.75502686866,53357.29165388456,45857.846245609,49882.01519359827,51746.0318050131,48144.95836207608,48932.895598072544,47163.1643443251,44758.22252018882,48326.13682231966,49016.418774848986,53188.72602480297
