S00117_Actual,S00117_Simulated,S1151_Actual,S1151_Simulated
1.791759469228055,1.3003772873935853,2.3978952727983707,3.1027931111671934
1.791759469228055,0.6644352926479432,2.3978952727983707,2.788191778210697
1.791759469228055,2.466005297779518,2.3978952727983707,1.2677101168579528
1.791759469228055,0.4998180711860968,2.3978952727983707,3.4957116535330544
1.791759469228055,2.097030926859986,2.3978952727983707,1.2115774764847547
1.791759469228055,2.3773410389269936,2.3978952727983707,2.971941723484881
1.791759469228055,1.5776454930917527,2.3978952727983707,4.250386424440904
1.791759469228055,3.415047461921879,2.3978952727983707,2.710296072600322
1.791759469228055,0.9090748834391954,2.3978952727983707,4.54827172131483
1.791759469228055,1.4110089192945654,2.3978952727983707,2.2228736072928763
1.8718021769015913,0.0,2.3978952727983707,4.4492582814095645
1.9459101490553132,1.6341612268664483,2.3978952727983707,3.536846546321362
