Project,Model,Trend,MAE,MAPE,RMSE,MSE
digester,DLM,Linear,21040.92,818.04,25216.49,635871528.33
collections,DLM,Linear,2773.18,5.78,3203.75,10263999.05
commons-fileupload,DLM,Linear,745.38,15.19,794.21,630773.31
jxpath,DLM,Linear,1172.89,3.98,1327.08,1761147.92
commons-jelly,DLM,Linear,3358.67,9.88,3859.65,14896895.69
dbutils,DLM,Linear,134.49,1.88,189.11,35761.67
cocoon,DLM,Linear,49700.58,24.51,59182.92,3502618108.34
cayenne,DLM,Linear,4468.31,2.07,4572.27,20905683.09
bcel,DLM,Linear,1223.71,2.18,1412.58,1995371.57
zookeeper,DLM,Linear,1084.0,1.76,1370.65,1878693.67
felix,DLM,Linear,2394.33,0.95,3185.0,10144228.75
beanutils,DLM,Linear,2734.57,4.52,3741.15,13996171.59
commons-cli,DLM,Linear,13474.92,176.77,15531.86,241238804.77
commons-exec,DLM,Linear,1086.42,26.86,1106.2,1223668.49
net,DLM,Linear,944.68,3.46,1053.32,1109491.42
batik,DLM,Linear,15394.75,8.47,31213.24,974266338.68
ognl,DLM,Linear,12713.38,25.96,17264.69,298069503.36
santuario,DLM,Linear,3754.08,3.3,4275.74,18281983.27
daemon,DLM,Linear,377.66,10.56,424.86,180506.76
commons-jexl,DLM,Linear,2938.39,25.15,3675.11,13506413.92
httpcore,DLM,Linear,6283.16,8.5,6760.12,45699267.77
thrift,DLM,Linear,5411.92,19.24,6604.1,43614117.14
configuration,DLM,Linear,647.14,1.6,907.92,824310.73
commons-io,DLM,Linear,554.13,1.93,1349.39,1820866.61
httpclient,DLM,Linear,8774.62,10.55,11793.71,139091706.09
archiva,DLM,Linear,12490.5,13.01,14301.9,204544206.68
validator,DLM,Linear,1269.4,7.36,1422.71,2024097.08
dbcp,DLM,Linear,645.21,4.5,767.04,588353.33
codec,DLM,Linear,209.97,1.25,260.88,68058.27
vfs,DLM,Linear,382.67,1.48,557.31,310590.49
