Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,flat,stan-mcmc,396.57,1.51,464.65,215902.1
collections,DLT,linear,stan-mcmc,4042.51,7.53,4607.44,21228535.47
commons-fileupload,DLT,linear,stan-map,236.17,4.15,300.5,90298.42
jxpath,DLT,loglinear,stan-mcmc,755.07,2.54,1002.18,1004363.73
commons-jelly,DLT,loglinear,stan-mcmc,32.98,0.08,38.1,1451.82
dbutils,DLT,logistic,stan-mcmc,18.38,0.28,29.54,872.69
cocoon,DLT,logistic,stan-map,18569.8,7.26,19424.49,377310628.65
cayenne,DLT,linear,stan-map,3556.99,1.63,3809.16,14509703.88
hive,DLT,linear,stan-mcmc,48685.91,7.75,58184.5,3385435681.3
bcel,DLT,linear,stan-map,1414.48,2.51,1654.0,2735707.79
zookeeper,DLT,linear,stan-mcmc,1045.23,1.65,1126.34,1268634.22
felix,DLT,linear,stan-mcmc,14195.62,5.85,17314.04,299776057.49
beanutils,DLT,linear,stan-map,274.4,0.49,343.08,117704.7
commons-cli,DLT,loglinear,stan-map,385.59,4.97,414.09,171466.64
commons-exec,DLT,linear,stan-map,177.07,3.3,224.55,50423.34
net,DLT,linear,stan-mcmc,457.36,1.54,545.04,297069.28
batik,DLT,flat,stan-map,26477.87,21.01,28669.95,821965861.19
ognl,DLT,linear,stan-map,77.2,0.28,89.54,8018.16
santuario,DLT,linear,stan-map,3488.05,2.87,4118.91,16965400.65
daemon,DLT,linear,stan-mcmc,32.27,0.8,37.91,1436.84
commons-jexl,DLT,loglinear,stan-mcmc,1940.61,12.46,2367.57,5605404.66
httpcore,DLT,loglinear,stan-mcmc,1607.18,2.13,2506.01,6280064.21
thrift,DLT,linear,stan-mcmc,174.53,0.84,206.95,42827.47
configuration,DLT,linear,stan-mcmc,1446.41,3.32,2135.68,4561108.09
commons-io,DLT,linear,stan-mcmc,3467.75,9.36,4850.87,23530942.02
httpclient,DLT,logistic,stan-map,20793.94,33.31,21873.47,478448600.8
archiva,DLT,linear,stan-map,7560.11,7.27,13467.5,181373609.2
validator,DLT,loglinear,stan-map,591.24,3.54,807.4,651899.58
dbcp,DLT,loglinear,stan-map,461.55,3.28,683.68,467420.58
codec,DLT,linear,stan-mcmc,866.06,5.1,1056.67,1116542.69
vfs,DLT,loglinear,stan-map,641.25,2.36,933.45,871325.69
