Project,Model,MAE,MAPE,RMSE,MSE
cocoon,DGLM,36753.83,39.17,2870.47,8239591.49
hive,DGLM,29347.5,4.9,5454.94,29756391.33
daemon,DGLM,41.86,1.16,51.6,2662.25
configuration,DGLM,1265.45,3.59,276.78,76609.66
archiva,DGLM,5099.27,6.83,3121.93,9746451.04
