RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated
3.1354942159291497,3.5257771575512358,3.545778610473263,3.3241618483350153,2.4849066497880004,4.288801949621111,2.3978952727983707,2.328170097005313,0.6931471805599453,2.599355956726943,0.0,1.2264470614375145,4.962844630259907,4.534028144429186,3.7376696182833684,3.848777899491394,3.091042453358316,2.4454143792319614,5.823045895483019,5.475244663983493,3.258096538021482,2.7747795250883027
3.1354942159291497,2.8069546385379067,3.550574782736756,3.583249756978942,2.4849066497880004,4.526556945230689,2.3978952727983707,1.9840843477277457,0.6931471805599453,4.217972481289211,0.0,1.0585174447345902,4.962844630259907,5.244143260276821,3.7376696182833684,3.8265399863063703,3.091042453358316,1.8902683487919187,5.823045895483019,4.7311568760882485,3.258096538021482,2.7420026201920886
3.1354942159291497,3.1618449474794765,3.5553480614894135,3.2313308520382997,2.4849066497880004,5.569967379020218,2.3978952727983707,1.1939126410723255,0.6931471805599453,2.4531262244042913,0.0,0.4533918774031883,4.962844630259907,4.799816219244251,3.7376696182833684,4.513820174451156,3.091042453358316,2.487406298497899,5.823045895483019,5.048543027843365,3.258096538021482,3.4211812211439696
3.1354942159291497,3.4941424779207737,3.5553480614894135,2.7117122780650327,2.4849066497880004,4.416976192961147,2.3978952727983707,2.1269034222080867,0.6931471805599453,0.061196287207981204,0.0,0.0,4.9605109069136875,4.9711414457376595,3.7376696182833684,3.475106972761097,3.091042453358316,3.6357333702273893,5.823045895483019,4.687472578040691,3.258096538021482,3.424286499159331
3.1354942159291497,3.5214148461110777,3.5553480614894135,3.12265157877122,2.4849066497880004,2.7120778226592153,2.3978952727983707,1.6249382989268573,0.6931471805599453,4.563706135647022,0.0,1.1714442472881015,4.958171724560515,3.479436375485008,3.7376696182833684,5.284141770608934,3.091042453358316,3.2520650646637326,5.823045895483019,4.9066349422469635,3.258096538021482,2.3105641212610886
3.1354942159291497,2.876928818123177,3.5553480614894135,2.7252728276734333,2.4849066497880004,3.2365076616536883,2.3978952727983707,1.220569266046651,0.6931471805599453,3.673362733824236,0.0,0.0,4.955827057601261,4.5458642178868685,3.7376696182833684,4.774551595295051,3.091042453358316,2.248011412963109,5.823045895483019,5.270333711875107,3.258096538021482,2.3506059692642056
3.1354942159291497,3.226854479419993,3.5553480614894135,3.3182328371948215,2.4849066497880004,3.642055606780828,2.3749057545736716,1.5787588275742475,0.6931471805599453,2.5612678132734197,0.0,0.8339399873658707,4.9672057361689195,5.105092830614628,3.7346889901452305,4.978581926312438,3.091042453358316,2.5745723833810943,5.823415649600746,5.3999998823933275,3.258096538021482,2.7972168690607377
3.1354942159291497,3.4904824223457043,3.5553480614894135,2.878159293375381,2.4849066497880004,5.137140256412228,2.3513752571634776,3.045691030407176,0.6931471805599453,3.278555118957199,0.0,3.723674973703859,4.978456395732021,4.37607967008611,3.7316994512968646,2.5643217116028723,3.091042453358316,2.3839641247438235,5.823785267050898,4.002903200115253,3.258096538021482,4.424794957238355
3.1354942159291497,3.6466801268922038,3.5553480614894135,3.3979163109865826,2.4849066497880004,5.463887959158729,2.327277705584417,3.707185296851737,0.6931471805599453,4.421099778888899,0.0,1.4377732175799487,4.989581884898423,4.711126615909487,3.7287009483006077,4.0997034045320735,3.091042453358316,1.9538590789520103,5.8241547479344655,5.085379680939941,3.258096538021482,5.114272844558132
3.1354942159291497,3.6460707187750474,3.5553480614894135,3.7385339682782956,2.4849066497880004,5.358128907210016,2.302585092994046,1.8855753517967329,0.6931471805599453,3.6371062392702784,0.0,2.699140737421624,5.000584958242754,3.77089370550151,3.7256934272366524,3.934994202848072,3.091042453358316,2.8426868043416897,5.82452409235233,5.40275448483266,3.258096538021482,3.5791728851572477
