RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated
3.1354942159291497,3.3944648510557793,1.0986122886681098,1.539752183574873,5.924255797414532,4.9970275798126575,6.863803391452954,5.996123387695626
3.1354942159291497,2.8003242656790626,1.0986122886681098,0.8863334143707321,6.018593214496234,5.7134077565774595,6.893656354602635,6.251734601538452
3.1354942159291497,4.909714605336346,1.0986122886681098,0.5674390365523385,6.025865973825314,4.561499541661243,6.904750769961838,4.509760989091044
3.1354942159291497,3.040230027599444,1.0986122886681098,2.7122518474530573,6.028278520230698,5.290426418015045,6.907755278982137,4.8964224715569244
3.1354942159291497,2.832578007874468,1.0986122886681098,1.135450330095495,6.018593214496234,4.593284980039766,6.926577033222725,6.7158183681686126
3.258096538021482,2.6614377802547384,1.0986122886681098,0.9491207617989249,5.937536205082426,4.8685692241788425,6.903747257584598,6.378566546587465
3.258096538021482,4.064863336582017,1.3862943611198906,1.2248930770431805,6.016157159698354,4.984524005709384,7.00397413672268,5.854616570926014
3.332204510175204,3.4777257037451004,0.6931471805599453,1.5279318359305427,5.713732805509369,4.518153567060022,6.760414691083428,4.331455948780035
3.332204510175204,3.98825344076484,0.6931471805599453,0.8656360472801452,5.71042701737487,5.87204446429932,6.7357800142423265,5.249980906663734
3.332204510175204,3.479016289935072,0.6931471805599453,1.8768803105118879,5.683579767338681,5.593750363328975,6.734591659972948,5.591244578155786
3.332204510175204,3.7300850397252945,0.6931471805599453,0.0,5.69035945432406,5.930471735681246,6.738152494595957,5.861507961582786
3.332204510175204,3.6209638867976883,0.6931471805599453,2.1238864021038344,5.697093486505405,4.727111863502146,6.7580945044277305,5.1797037253547655
