RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1488_Actual,S1488_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.9067212808580045,0.5284949674276187,0.0,0.23444185872781464,0.6931471805599453,0.6931423560017794,0.0,0.0,4.225790448355602,4.138059729609061,1.0986122886681098,1.098607464109944,1.0986122886681098,1.098607464109944,0.0,0.0
0.9257694758286987,0.3576656631287769,0.0,0.3374810009250635,0.6931471805599453,0.6931486860100422,0.0,0.0,4.227875954846623,4.099438404301484,1.0986122886681098,1.098605494059967,1.0986122886681098,1.0986135157224552,0.0,0.0
0.9444616088408514,0.7087436468964112,0.0,0.0,0.6931471805599453,0.6931468598775066,0.0,0.0,4.229957121050448,4.294687422060977,1.0986122886681098,1.0986100240775438,1.0986122886681098,1.0986037769183574,0.0,0.0
0.9628107475090479,0.46170188404050494,0.0,0.09980820537938745,0.6931471805599453,0.6931425051424137,0.0,0.0,4.232033964995287,4.260835091605232,1.0986122886681098,1.0986089381037316,1.0986122886681098,1.0986097745440382,0.0,0.0
0.9808292530117261,0.4570209054538961,0.0,0.286354106781332,0.6931471805599453,0.693140125437262,0.0,0.0,4.23410650459726,3.9538550243262764,1.0986122886681098,1.0986128298631612,1.0986122886681098,1.098602063549872,0.0,1.2199788296266328e-06
0.9985288301111271,0.3779944857529128,0.0,0.0,0.6931471805599453,0.6931393717784047,0.0,0.0,4.236174757661319,3.991931493836178,1.0986122886681098,1.0986118175509958,1.0986122886681098,1.0985982408912462,0.0,0.0
1.0159205728229963,0.5302951312059286,0.0,0.4353049946436744,0.6931471805599453,0.6931431536821453,0.0,0.0,4.23823874188217,4.134875850298647,1.0986122886681098,1.09859832968795,1.0986122886681098,1.0986068497291464,0.0,0.0
1.0330150061822962,0.6773535079444273,0.0,0.023879571675369166,0.6931471805599453,0.6931403856143401,0.0,0.0,4.24029847484518,4.064763586177927,1.0986122886681098,1.0986052626683471,1.0986122886681098,1.098612632702855,0.0,0.0
1.0498221244986776,0.15346880994782652,0.0,0.3972899256406761,0.6931471805599453,0.6931451447235553,0.0,0.0,4.242353974027276,4.248216875395587,1.0986122886681098,1.0986057041025923,1.0986122886681098,1.0986047530718623,0.0,0.0
1.0663514264498883,0.4658837448803391,0.0,0.5041715194756498,0.6931471805599453,0.6931450751223684,0.0,0.0,4.244405256797834,3.9983683009479627,1.0986122886681098,1.0986091749717257,1.0986122886681098,1.0986112791638407,0.0,0.0
1.0826119473216684,0.15956702643336101,0.0,0.26855120592294457,0.6931471805599453,0.6931458402070535,0.0,0.0,4.246452340419559,4.160645833526933,1.0986122886681098,1.0986100549886764,1.0986122886681098,1.098605864848314,0.0,0.0
1.0986122886681098,0.9307928617380185,0.0,0.01884656835591425,0.6931471805599453,0.6931386401234747,0.0,0.0,4.248495242049359,4.16707314326812,1.0986122886681098,1.0986055793255598,1.0986122886681098,1.0986052917072258,0.0,0.0
