S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated
0.0,0.8908388900930552,2.302585092994046,3.347618273965604,4.848116364598481,4.297647226198552
0.0,0.52962633188961,2.302585092994046,3.3737830111297855,4.8494227005125365,4.7687967611231565
0.0,1.688120303451433,2.302585092994046,0.9907299834220402,4.850727332139201,5.832169419381045
0.0,0.0,2.302585092994046,5.715571859228706,4.852030263919617,5.046725945071897
0.0,1.2005100169608558,2.302585092994046,0.0,4.853331500277589,3.798855189902236
0.0,1.4729724548623429,2.302585092994046,3.9186774157397695,4.854631045619675,5.596283172116243
0.0,2.8529015280328673,2.302585092994046,4.775793571847597,4.855928904335275,4.8220931063719386
0.0,2.9300301766825125,2.302585092994046,1.5870657054999229,4.857225080796721,4.712336042033695
0.0,1.125286326678211,2.302585092994046,4.525854696802224,4.858519579359367,3.6729524222214813
0.0,0.16565372926986832,2.302585092994046,7.237982719219168,4.859812404361672,4.118262532260885
0.0,3.477803449506884,2.302585092994046,1.7277863497220272,4.90527477843843,1.8614760777033763
0.0,2.7817664639658464,2.302585092994046,3.0450791862128463,4.948759890378168,5.110993550772307
