,Actual_last_5_vals,Mean_Simulation,Simulated_28,Simulated_20,Simulated_9,Simulated_22,Simulated_14,Simulated_37,Simulated_26,Simulated_30,Simulated_48,Simulated_17,Simulated_15,Simulated_45,Simulated_44,Simulated_40,Simulated_47,Simulated_10,Simulated_16,Simulated_34,Simulated_2,Simulated_8,Simulated_4,Simulated_1,Simulated_39,Simulated_35,Simulated_5,Simulated_23,Simulated_11,Simulated_36,Simulated_33,Simulated_29,Simulated_25,Simulated_18,Simulated_3,Simulated_32,Simulated_27,Simulated_7,Simulated_24,Simulated_46,Simulated_21,Simulated_31,Simulated_6,Simulated_19,Simulated_38,Simulated_41,Simulated_13,Simulated_49,Simulated_42,Simulated_43,Simulated_0,Simulated_12
0,87576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,89830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,115264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,110234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,116422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41,121411.41
6,,128341.26,122656.79,117270.99,164275.0,195637.45,41037.11,67186.53,103279.61,125988.58,103773.55,102205.09,233248.16,91341.23,54570.59,142278.98,46977.79,161093.35,185281.36,108339.22,-34404.72,160371.18,106688.29,162222.99,160596.42,73662.91,120973.56,235399.89,226921.41,176030.37,147986.96,217752.16,167862.25,-20108.81,71835.12,91267.02,144014.89,193327.33,26564.6,161212.4,25208.3,93142.51,194530.91,130899.29,188751.92,280591.61,84388.1,174008.82,229742.23,102153.82,190922.49,-33894.61
7,,105428.67,95210.17,95325.36,82550.35,55266.88,82654.06,54094.34,98149.69,178186.69,38972.12,158919.04,138288.46,98204.95,120419.75,129144.52,193619.85,134292.53,66504.72,5016.04,102337.46,242503.68,79442.09,69207.75,156534.76,54941.14,211458.67,38076.79,39502.21,120566.73,66757.25,99362.52,186537.1,88143.1,36436.25,190352.38,220359.71,61915.29,-34048.31,61126.32,64183.77,240919.67,23320.53,181968.75,183640.57,267372.32,223349.44,-52581.08,147007.79,75104.73,-17128.49,17943.07
8,,113972.09,142105.82,109452.56,143210.01,77313.34,143235.57,42837.21,196595.29,108525.87,33514.21,166708.03,154609.46,31778.49,185944.93,39586.29,119389.9,195938.38,163673.47,136434.91,90021.26,23498.8,254726.39,207274.25,14071.99,177320.45,203663.86,41413.46,171714.94,154285.88,191105.06,157358.65,39503.18,175909.41,26151.46,213131.0,102674.69,33968.52,26093.83,163449.96,48804.21,77093.58,117201.53,183047.24,-32592.85,97552.17,49208.96,223158.32,220916.6,7962.77,-29016.44,77077.84
9,,101197.85,144421.6,22746.75,27180.54,129084.29,93560.37,114011.8,10594.86,176258.24,111496.9,14700.96,118420.06,129835.65,129673.72,10118.32,71986.56,112030.3,134317.66,147618.57,154511.8,104185.56,154630.41,28351.91,148555.7,148379.72,57675.02,148583.56,163998.29,-59316.74,-70723.85,-29091.39,158591.67,93393.09,146617.26,193528.49,164325.65,-61240.48,103178.36,243144.6,-21755.97,233083.72,290969.68,-90877.41,199302.38,185359.2,198784.54,36173.69,21904.56,-46275.03,21158.12,342729.16
10,,114587.41,158937.9,169270.2,111017.61,114111.47,60875.49,132357.35,91098.97,40461.65,164302.48,100811.06,152267.58,30811.99,58436.69,160752.56,67465.72,13838.48,30948.78,38799.8,137713.77,110170.18,145439.27,68866.46,61770.73,45388.99,159766.73,122435.12,95758.09,71746.27,125394.1,65456.75,181440.94,207231.52,186402.04,142317.6,-37998.0,105679.63,151352.05,15067.29,60411.28,164493.95,169973.75,174048.91,147008.31,113258.71,221680.76,178004.89,229801.63,249050.61,11581.75,152090.74
11,MAE,,21935.16,26471.17,27606.18,30413.18,33448.61,35701.3,38175.88,38290.51,38582.71,38772.62,38884.41,39805.09,40893.53,41547.34,41884.24,42527.27,43720.64,44180.97,44371.39,44497.19,45446.38,46995.28,47239.31,47482.42,48631.94,50367.09,50646.54,51082.78,53029.75,53047.25,53224.28,54686.97,55092.2,56869.62,59602.55,59974.86,61312.84,61353.04,64445.95,64893.45,66114.23,66618.34,69285.49,69350.66,71886.18,73550.86,74072.02,74076.13,85195.38,94275.06
