,Actual,Mean_Simulation,Simulated_18,Simulated_15,Simulated_28,Simulated_43,Simulated_23,Simulated_22,Simulated_24,Simulated_8,Simulated_26,Simulated_25,Simulated_47,Simulated_27,Simulated_35,Simulated_41,Simulated_0,Simulated_38,Simulated_4,Simulated_11,Simulated_31,Simulated_20,Simulated_12,Simulated_3,Simulated_40,Simulated_5,Simulated_21,Simulated_17,Simulated_44,Simulated_16,Simulated_32,Simulated_36,Simulated_13,Simulated_9,Simulated_37,Simulated_6,Simulated_29,Simulated_42,Simulated_49,Simulated_7,Simulated_14,Simulated_45,Simulated_39,Simulated_19,Simulated_48,Simulated_33,Simulated_10,Simulated_2,Simulated_34,Simulated_30,Simulated_1,Simulated_46
14,28422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,32063.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,42606.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,51421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,82708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,85924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,87163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,84571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,86546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,86737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,86820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,93502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
