S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1132_Actual,S1132_Simulated
4.406719247264253,3.9736462603351703,1.0986122886681098,0.7506859406485378,2.5649493574615367,2.9404301144203595,3.295836866004329,2.3621206429605626,3.6888794541139363,2.945350239029016,3.6635616461296463,3.4455535302596,0.0,0.00845563664876762,1.6094379124341003,0.8320702696305738,1.6094379124341003,1.0863350080236112
4.418840607796598,3.881774899506515,1.0986122886681098,0.43582205412524483,2.5649493574615367,0.0,3.295836866004329,2.813805611943939,3.6888794541139363,2.8468802841853047,3.6635616461296463,3.71659470843624,0.0,0.0,1.6094379124341003,0.21694653433607491,1.6094379124341003,0.9382188178987553
4.418840607796598,5.185852546360506,1.0986122886681098,0.23643313561880241,2.5649493574615367,0.0,3.295836866004329,1.116227057629916,3.6971782569286313,3.078864267546943,3.6635616461296463,3.3665378343116115,0.0,0.0,1.6094379124341003,0.6046035857836165,1.6094379124341003,0.8093658907114776
4.418840607796598,3.342963965987573,1.0986122886681098,1.0080949089226667,2.5649493574615367,5.674122855545119,3.295836866004329,3.525731416878153,3.7054087560651467,3.0809510969495113,3.6635616461296463,2.7917410782997716,0.0,0.0,1.6094379124341003,0.2637134401659441,1.6094379124341003,1.575356453533873
4.418840607796598,4.743928839263371,1.0986122886681098,1.7408667806380387,2.5649493574615367,6.304042922242861,3.295836866004329,1.345401527704219,3.713572066704308,3.345778849176925,3.6635616461296463,2.814116199400601,0.0,0.0,1.6094379124341003,1.4823744891118142,1.6094379124341003,1.7708355141759753
4.430816798843313,3.7127155000241494,1.0986122886681098,0.15149921379549636,2.5649493574615367,0.0,3.295836866004329,1.3470577302360505,3.7376696182833684,2.3636366753281606,3.6635616461296463,2.4029386813032874,0.0,0.013034679276943743,1.6094379124341003,0.6029335713863763,1.6094379124341003,0.7329295478283717
4.442651256490317,2.944945551445078,1.0986122886681098,0.9656548556709214,2.5649493574615367,1.0821725883205708,3.295836866004329,1.7516726785035892,3.7612001156935624,2.88745005670767,3.6635616461296463,3.2088516482790586,0.0,0.06283009190651574,1.6094379124341003,1.3238995065685204,1.6094379124341003,1.2648986072311257
4.454347296253507,3.6899874931686316,1.0986122886681098,1.605341873084912,2.5649493574615367,5.1073549959327185,3.295836866004329,3.52046156422295,3.7612001156935624,3.2866087231928933,3.7612001156935624,3.783386547097816,0.0,0.0,1.6094379124341003,0.28524600998317207,1.6094379124341003,0.0
4.465908118654584,3.4999821988899447,1.0986122886681098,1.445247433361784,2.5649493574615367,1.8128667202518491,3.295836866004329,3.4935392024891376,3.7612001156935624,2.2855314105557056,3.7612001156935624,2.805168706040133,0.0,0.0,1.6094379124341003,1.1540515779945437,1.6094379124341003,0.5681583858907696
4.473541743509655,3.942178594982256,1.0986122886681098,1.4296128427232437,2.5649493574615367,6.022617906494658,3.295836866004329,2.6752676440425804,3.7689221617874726,2.0264598446918733,3.784189633918261,2.9370973913813794,0.0,0.22120579393581008,1.6094379124341003,1.3090865834669845,1.6094379124341003,0.5998552760262365
4.481117537318112,5.250605169818768,1.0986122886681098,1.1884027127914907,2.5649493574615367,2.2004584332664887,3.295836866004329,3.027451321246272,3.7765850345330416,3.507198672904243,3.8066624897703196,2.0432207189695584,0.0,0.0,1.6094379124341003,0.718005965949127,1.6094379124341003,0.0
4.48863636973214,4.370543069702801,1.0986122886681098,0.574771485893379,2.5649493574615367,6.157212304229031,3.295836866004329,2.758190113442138,3.784189633918261,3.4838437972223653,3.828641396489095,3.28225985398728,0.0,0.0,1.6094379124341003,2.8449571021731157,1.6094379124341003,1.6697007447676457
