Project,MAE,MAPE,RMSE,MSE
digester,14894.818796836433,227.2846611735031,16892.12863220707,285344009.7270299
collections,5003.341359360877,11.087534356115425,5963.709743499185,35565833.90470711
commons-fileupload,206.96444073848477,3.758477946824492,276.7731600408894,76603.38211901978
jxpath,1332.7164242316926,4.331255361947096,1913.4008401151498,3661102.774953361
commons-jelly,5179.804592298007,16.286966229856212,5806.747442166526,33718315.85710748
dbutils,270.2881054355351,4.063473992364986,523.7731038652892,274338.264332679
cocoon,108620.41644219859,75.29972490873054,114022.3509406166,13001096514.025131
cayenne,9337.470758071886,4.432335641349875,9663.569840870041,93384582.06937301
hive,18525.45076600442,2.8859285556853758,27109.95352483926,734949580.1189446
bcel,1461.9909560248605,2.600673353849588,1783.064059504792,3179317.440297709
zookeeper,1406.3271673160198,2.290438004536731,1621.3900792317374,2628905.7890311
felix,19894.445057940233,8.835194678862598,24837.088761433457,616880978.1433241
beanutils,3739.409224535717,7.359691833583174,4520.527242594259,20435166.55103686
commons-cli,1812.5087179316615,27.790472852951147,2004.6085267791932,4018455.3456358477
commons-exec,1309.3151265128786,33.9990462181219,1322.810692433137,1749828.1280154355
net,1912.280787850153,7.316781781862979,2106.461472982465,4437179.937159455
batik,13267.87201669959,7.839968645174291,25624.400037254083,656609877.269227
ognl,543.1991667817139,2.018391166932764,603.2203225227643,363874.7575044677
santuario,13661.065729154534,13.869412366430463,15980.86133221814,255387928.91958496
daemon,358.2608969139213,9.952873660469873,404.4539641868481,163583.00914645623
commons-jexl,2820.299432423805,22.718615829063257,3273.6817705330473,10716992.334720388
httpcore,6268.142575503085,8.935632930375464,7131.260943356053,50854882.642235465
thrift,1276.55438830072,6.724069224622318,1451.2457801716812,2106114.314466112
configuration,1946.7998638505087,5.246031015481215,2512.750118237386,6313913.156701996
commons-io,2748.1441420930378,11.029627108721757,3576.5713492621394,12791862.6163628
httpclient,7698.460702923147,9.639878008953842,10328.811448255587,106684345.93361567
archiva,23941.941232615492,29.559197355222146,27785.70629084617,772045474.0811684
validator,331.5629761980004,2.1624801450742144,583.1954230249472,340116.9014372472
dbcp,306.1642269361078,2.036334412178049,467.4434496029766,218503.37857673052
codec,1289.975585238886,8.490019168230802,1464.8561769703056,2145803.6192080593
vfs,2510.1672182209604,10.931645693267063,2889.273609252111,8347901.989120719
