Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-map,418.7,1.6,505.32,255348.85
collections,DLT,linear,stan-mcmc,3163.76,5.91,3691.79,13629282.85
commons-fileupload,DLT,linear,stan-mcmc,259.54,4.61,321.07,103088.22
jxpath,DLT,flat,stan-mcmc,1052.18,3.54,1345.29,1809810.69
commons-jelly,DLT,linear,stan-mcmc,29.23,0.07,33.42,1116.91
dbutils,DLT,logistic,stan-mcmc,71.9,1.08,81.58,6655.58
cocoon,DLT,linear,stan-map,11869.78,4.54,14788.12,218688537.57
cayenne,DLT,logistic,stan-map,10623.46,4.8,10742.43,115399879.55
hive,DLT,linear,stan-map,53900.72,8.52,65014.02,4226822954.88
bcel,DLT,linear,stan-mcmc,1254.87,2.25,1532.85,2349618.6
zookeeper,DLT,linear,stan-map,980.84,1.56,1219.08,1486145.67
felix,DLT,linear,stan-mcmc,11142.57,4.34,17437.68,304072798.37
beanutils,DLT,loglinear,stan-mcmc,315.64,0.56,378.34,143140.82
commons-cli,DLT,loglinear,stan-mcmc,241.2,3.15,288.06,82980.5
commons-exec,DLT,linear,stan-map,173.62,3.23,215.97,46642.29
net,DLT,linear,stan-mcmc,284.15,0.98,358.87,128784.74
batik,DLT,logistic,stan-map,36344.98,32.96,49111.94,2411982639.05
ognl,DLT,linear,stan-map,38.24,0.14,43.49,1891.35
santuario,DLT,linear,stan-mcmc,3806.28,3.12,4881.28,23826898.15
daemon,DLT,linear,stan-mcmc,25.32,0.63,30.35,921.08
commons-jexl,DLT,loglinear,stan-mcmc,2112.26,13.51,2523.84,6369783.25
httpcore,DLT,loglinear,stan-map,1670.89,2.22,2439.35,5950434.95
thrift,DLT,linear,stan-map,166.7,0.81,218.62,47795.65
configuration,DLT,linear,stan-map,959.92,2.32,1042.79,1087414.21
commons-io,DLT,linear,stan-mcmc,3641.1,9.81,5002.89,25028873.53
httpclient,DLT,logistic,stan-mcmc,18303.84,29.21,20052.0,402082714.3
archiva,DLT,linear,stan-map,9551.81,9.07,15774.91,248847751.92
validator,DLT,linear,stan-mcmc,585.06,3.51,772.7,597071.5
dbcp,DLT,loglinear,stan-mcmc,510.34,3.65,745.23,555367.09
codec,DLT,linear,stan-map,792.63,4.68,960.04,921670.87
vfs,DLT,linear,stan-map,701.46,2.6,926.78,858919.49
