S1488_Actual,S1488_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
0.0,0.8908388900930552,4.820281565605037,4.297647226198552,2.9444389791664403,4.16307628472785
0.0,3.9513117734458096,4.820281565605037,4.999823159380672,2.9444389791664403,3.8775151113339454
0.0,0.42389194872722885,4.820281565605037,4.587485410007167,2.9444389791664403,4.35471948813996
0.0,0.9476261579855281,4.820281565605037,3.6776057403396445,2.9444389791664403,4.655568491414731
0.0,3.2705514621776657,4.820281565605037,3.0423640648384143,2.9444389791664403,5.3028059276824235
0.0,0.0,4.825108606353353,4.845203135838519,2.9444389791664403,5.022017133381961
0.0,0.548123685003992,4.829912458665998,2.8950886102523223,2.9444389791664403,4.390767608234503
0.0,0.7818184526668756,4.8346933442663405,3.5649108285492863,2.9444389791664403,3.100300645609792
0.0,2.661005818038328,4.839451481712757,4.211975647527533,2.9444389791664403,4.2989916520617255
0.0,1.9282171132289658,4.844187086458591,4.650831192970999,2.9444389791664403,4.587004238394623
0.0,0.5233328421922849,4.845498562056402,4.259875831637462,2.9444389791664403,5.952457548981407
0.0,1.0089688697059749,4.846808319938465,4.1610752861814415,2.9444389791664403,3.5809637943759283
0.0,0.0,4.848116364598481,3.072475051020464,2.9444389791664403,3.677930244621987
0.0,0.25533167486837316,4.8494227005125365,3.721605196033432,2.9444389791664403,2.732487689573273
0.0,3.256337764873939,4.850727332139201,3.8136736765996484,2.9444389791664403,7.058896449763158
0.0,2.0498475517911334,4.852030263919617,4.250127634077366,2.9444389791664403,5.395975641372781
0.0,2.224609995753309,4.853331500277589,4.530683835305831,2.9444389791664403,3.7426574158548083
0.0,1.1529214325353843,4.854631045619675,6.021216148036311,2.9444389791664403,5.092100486376915
0.0,0.04838963681621111,4.855928904335275,3.7700147161217257,2.9444389791664403,1.0290582868700948
0.0,1.3877183114468066,4.857225080796721,5.1837791333314165,2.9444389791664403,4.060320075620898
0.0,3.0678502488177726,4.858519579359367,4.442362030524606,2.9444389791664403,6.850826124952444
0.0,0.9603948752881566,4.859812404361672,3.6592475721838333,2.9444389791664403,3.7376466616351163
0.0,0.0,4.90527477843843,4.194868086507245,2.9444389791664403,6.429316756802491
0.0,1.4815892393353343,4.948759890378168,3.662152090431474,2.9444389791664403,4.119353389384391
