S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
5.840641657373398,5.905965091877481,5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,6.327936783729195,6.198847681621536,1.9459101490553132,2.218394196647229,2.772588722239781,3.5535918260069694,5.717027701406222,5.778379256897303
5.786897381366708,6.309770214846178,5.717027701406222,6.266245874246994,5.814130531825066,5.736210331057719,6.311734809152915,7.140385549146669,1.9459101490553132,2.2350983959185267,2.833213344056216,4.20839324569372,5.700443573390687,6.639743700761853
5.783825182329737,5.3361829163490535,5.720311776607412,5.634025939416661,5.811140992976701,5.108301439483183,6.302618975744905,6.651270998894656,1.9459101490553132,3.03895083084318,2.9444389791664403,2.535053354978948,5.69035945432406,5.220235036273146
5.7745515455444085,5.65998116862858,5.720311776607412,5.541778225193361,5.811140992976701,5.484874431794557,6.313548046277095,6.3230832706587385,1.9459101490553132,2.8317268109428326,2.995732273553991,5.408240294435495,5.680172609017068,6.261607373615327
5.755742213586912,6.207661816447689,5.720311776607412,5.666538420518821,5.811140992976701,5.624811459951324,6.3080984415095305,5.923635356608245,1.791759469228055,1.997093495769242,2.995732273553991,3.0375046972941564,5.631211781821365,5.533391042636269
5.765191102784844,5.347142688507218,5.726847747587197,5.614197482076265,5.811140992976701,5.772204041372121,6.298949246855942,5.5467312023660655,1.791759469228055,4.051103298969243,3.091042453358316,3.513978591772078,5.634789603169249,5.987922315365368
5.765191102784844,5.633981904303,5.733341276897746,5.86068190493787,5.811140992976701,6.1074156510260496,6.298949246855942,6.005636269900107,1.791759469228055,2.2393931115619257,2.772588722239781,3.0902420721313377,5.66988092298052,5.817932381386826
5.75890177387728,5.127676304137969,5.703782474656201,5.358576083015514,5.808142489980444,5.953214432259258,6.278521424165844,6.737822792785544,1.791759469228055,1.8517121283507376,2.302585092994046,3.3832677189249494,5.6131281063880705,6.031560112496856
5.7745515455444085,5.932384145066794,5.717027701406222,6.401871172368983,5.808142489980444,5.771700536609269,6.278521424165844,5.913018409469602,1.791759469228055,2.287089530587586,2.4849066497880004,4.745674802866294,5.616771097666572,5.407478449533383
5.765191102784844,5.437224578426788,5.71042701737487,5.215361969233917,5.808142489980444,5.671384029742365,6.2878585601617845,6.747843983928898,1.791759469228055,1.929999363114605,2.302585092994046,4.7591417276368615,5.616771097666572,5.792859476694601
5.777652323222656,5.770415658683447,5.707110264748875,5.220503223869596,5.755742213586912,5.282779524661988,6.3080984415095305,5.9070118124329145,1.791759469228055,1.3594420005546408,2.3978952727983707,5.0498973579977875,5.66988092298052,5.718781790819172
5.777652323222656,6.126109878752472,5.707110264748875,5.857872135996379,5.755742213586912,5.671561416467583,6.3080984415095305,5.976494939901308,1.791759469228055,1.4125997162151012,2.302585092994046,3.1409821159306937,5.66988092298052,5.0601688300115235
