S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
0.0,0.36172044398760594,3.258096538021482,2.5129296442372437
0.0,0.6389025472175828,3.258096538021482,4.144950190990377
0.0,0.0,3.258096538021482,2.328174463648329
0.0,0.28229663120634585,3.258096538021482,3.067459354832164
0.0,0.0,3.258096538021482,2.715131535049973
0.0,0.010090125683797413,3.258096538021482,1.889918913400922
0.0,0.3653812046906822,3.258096538021482,2.3225199263318377
0.0,0.0,3.258096538021482,2.3740371132908087
0.0,0.3829070781790924,3.258096538021482,2.391778835123541
0.0,0.22048274515816793,3.258096538021482,0.9932638968033962
0.0,0.2736276818474193,3.258096538021482,3.0788495647565304
0.0,0.519150617779461,3.258096538021482,3.154097930843229
