Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,linear,stan-mcmc,12893.22,52.71,14670.06,215210575.15
collections,DLT,linear,stan-mcmc,1931.39,3.95,2366.69,5601223.76
commons-fileupload,DLT,loglinear,stan-mcmc,143.07,2.45,186.6,34819.65
jxpath,DLT,flat,stan-map,1318.53,4.71,1888.13,3565051.62
commons-jelly,DLT,linear,stan-mcmc,1654.97,4.38,1797.95,3232640.3
dbutils,DLT,logistic,stan-map,255.29,3.39,459.15,210818.17
cocoon,DLT,linear,stan-map,101538.5,38.94,106372.55,11315118862.32
cayenne,DLT,linear,stan-map,7034.71,3.19,7179.3,51542362.06
hive,DLT,linear,stan-mcmc,17409.75,2.64,19680.94,387339206.6
bcel,DLT,linear,stan-mcmc,1459.01,2.59,1801.46,3245256.18
zookeeper,DLT,linear,stan-map,792.94,1.25,991.65,983364.21
felix,DLT,linear,stan-map,16163.39,6.31,20552.46,422403666.69
beanutils,DLT,linear,stan-map,1545.8,2.77,1832.18,3356897.94
commons-cli,DLT,linear,stan-map,830.89,11.56,1620.02,2624460.01
commons-exec,DLT,linear,stan-map,1203.1,23.24,1212.81,1470897.43
net,DLT,linear,stan-map,732.37,2.58,796.48,634386.47
batik,DLT,logistic,stan-map,12865.2,11.15,25977.8,674845887.51
ognl,DLT,linear,stan-map,325.86,1.24,419.9,176316.86
santuario,DLT,linear,stan-map,11866.64,10.15,13948.11,194549633.39
daemon,DLT,linear,stan-map,318.92,7.87,360.19,129738.73
commons-jexl,DLT,linear,stan-mcmc,1427.49,8.82,1713.54,2936223.47
httpcore,DLT,linear,stan-map,2371.72,2.99,3646.98,13300426.93
thrift,DLT,linear,stan-map,701.85,3.41,790.53,624934.44
configuration,DLT,linear,stan-mcmc,939.29,2.37,1188.18,1411770.34
commons-io,DLT,linear,stan-map,643.05,2.06,1616.13,2611888.79
httpclient,DLT,flat,stan-mcmc,7478.47,11.3,10217.91,104405748.64
archiva,DLT,linear,stan-mcmc,16544.2,14.68,19309.46,372855420.93
validator,DLT,loglinear,stan-map,234.14,1.42,484.31,234555.72
dbcp,DLT,flat,stan-mcmc,295.68,2.06,456.67,208545.15
codec,DLT,linear,stan-map,423.97,2.52,509.75,259840.81
vfs,DLT,linear,stan-mcmc,932.73,3.55,1164.81,1356780.54
