RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated
3.1354942159291497,3.3944648510557793,1.791759469228055,1.8846891797460226,1.0986122886681098,1.539752183574873,5.924255797414532,4.9970275798126575,6.863803391452954,5.996123387695626
3.1354942159291497,3.6754537012794963,1.791759469228055,0.695521140733327,1.0986122886681098,1.230512337794921,6.018593214496234,5.119083914910849,6.893656354602635,5.099401798731507
3.1354942159291497,3.316462768446741,1.791759469228055,1.5343257692558931,1.0986122886681098,0.911632987002008,6.025865973825314,3.6462863671482486,6.904750769961838,5.7789394976360455
3.1354942159291497,3.7854162746174453,1.791759469228055,1.6568527863477114,1.0986122886681098,1.1329176033840866,6.028278520230698,4.2914545460755225,6.907755278982137,5.815352543231973
3.1354942159291497,3.7284620988542914,1.791759469228055,0.888119716355072,1.0986122886681098,1.7841484664046647,6.018593214496234,6.0747734185243765,6.926577033222725,6.6173613964847515
3.258096538021482,2.959020952242551,1.791759469228055,1.8893313800806837,1.0986122886681098,1.5642680995615819,5.937536205082426,5.651641761032474,6.903747257584598,6.319410526975686
3.258096538021482,3.0506045077468578,2.772588722239781,2.0864515539535473,1.3862943611198906,2.6247425350315066,6.016157159698354,3.9572222677306086,7.00397413672268,7.592750277458141
3.332204510175204,2.8687618557664747,2.6390573296152584,2.865642038998446,0.6931471805599453,2.2793107486940305,5.713732805509369,5.0913123456353135,6.760414691083428,8.454952497380557
3.332204510175204,3.15928133026275,2.6390573296152584,2.752070270494433,0.6931471805599453,0.8498039618929508,5.71042701737487,4.634576237275601,6.7357800142423265,5.061228293861139
3.332204510175204,2.1699225918725165,2.6390573296152584,1.0182047865092845,0.6931471805599453,1.878573927073513,5.683579767338681,3.770876483036635,6.734591659972948,6.95168805964744
3.332204510175204,2.770189184386766,2.6390573296152584,2.1927179913883257,0.6931471805599453,0.9249367492552643,5.69035945432406,4.801672845442246,6.738152494595957,6.758152433054088
3.332204510175204,1.954271876531157,2.6390573296152584,1.1616111094851087,0.6931471805599453,2.387336988576729,5.697093486505405,4.451694878939563,6.7580945044277305,3.949727733974637
