RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated
3.1354942159291497,3.3944648510557793,1.791759469228055,1.8846891797460226,1.0986122886681098,1.539752183574873,5.924255797414532,4.9970275798126575
3.1354942159291497,3.577747477462412,1.791759469228055,3.2390052349989116,1.0986122886681098,2.4985659226557395,6.018593214496234,7.430158925312668
3.1354942159291497,2.8707448436384166,1.791759469228055,2.5794812127523934,1.0986122886681098,2.0621227629525825,6.025865973825314,6.460665279228663
3.1354942159291497,3.5391032690875757,1.791759469228055,1.8062305193816448,1.0986122886681098,1.5753421493850976,6.028278520230698,5.158930229131591
3.1354942159291497,3.618354362365675,1.791759469228055,1.7679583764568894,1.0986122886681098,1.1040464619262433,6.018593214496234,3.2336759856733055
3.258096538021482,3.9096776538061433,1.791759469228055,1.249018235793156,1.0986122886681098,1.6861985964701949,5.937536205082426,5.334006111900817
3.258096538021482,1.8136668599614247,2.772588722239781,2.069931530904061,1.3862943611198906,1.7299793137382693,6.016157159698354,3.9942295196562205
3.332204510175204,4.067157725744854,2.6390573296152584,1.4176543356058915,0.6931471805599453,3.7886475973766722,5.713732805509369,5.763964083778572
3.332204510175204,3.764973399329855,2.6390573296152584,1.7010578995020285,0.6931471805599453,0.8999480193226806,5.71042701737487,4.367178799716384
3.332204510175204,2.550413952452576,2.6390573296152584,1.8028819330342531,0.6931471805599453,0.6881340163724334,5.683579767338681,5.611735337098034
3.332204510175204,4.119999742096855,2.6390573296152584,1.5241230953889309,0.6931471805599453,2.2441460635408914,5.69035945432406,5.066949301819235
3.332204510175204,3.313453595868747,2.6390573296152584,2.1404140521379444,0.6931471805599453,2.018483144698002,5.697093486505405,4.14495649332562
