RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
4.454347296253507,5.112958552709485,3.044522437723423,3.1324916786314416,2.70805020110221,2.842322744116647,4.31748811353631,3.9462715619334965,1.3862943611198906,1.0310430254238616
4.454347296253507,4.7697456256151956,3.044522437723423,0.9231003983085286,2.70805020110221,3.50961309950085,4.31748811353631,5.289328500952221,1.3862943611198906,1.547518478064418
4.454347296253507,5.059549343983245,3.044522437723423,2.05432132529324,2.70805020110221,3.0379860607346045,4.330733340286331,3.3833210990645424,1.3862943611198906,0.7648039437936693
4.51085950651685,4.7174555930761635,3.091042453358316,2.6500600553937987,2.70805020110221,0.2906777080789342,4.709530201312334,4.673430723284088,1.3862943611198906,1.923581535391618
4.672828834461906,5.306307963605814,3.1780538303479458,6.472774078350991,2.70805020110221,2.663755213778672,4.736198448394496,2.9836276572016542,1.3862943611198906,1.8173033089783401
4.672828834461906,5.0700321252936345,3.1780538303479458,0.576386506800032,2.70805020110221,5.154063027859053,4.74493212836325,2.6164856071240754,1.3862943611198906,1.1211868217950693
4.6913478822291435,6.248766326291404,3.258096538021482,2.6495296429569026,2.70805020110221,3.8281446017260214,4.574710978503383,2.4756179403199026,1.3862943611198906,2.0039500690277814
4.955827057601261,4.526012728017437,3.258096538021482,2.877895389372712,2.70805020110221,2.2676962049478155,3.970291913552122,3.6654637194201163,1.3862943611198906,2.890000367389672
4.969813299576001,7.422282271111876,3.258096538021482,3.5882392188413608,2.70805020110221,2.8519820993180187,4.143134726391533,3.9144852678953304,1.3862943611198906,1.6076764648241104
4.969813299576001,6.113019727003895,3.258096538021482,3.3891399345727375,2.70805020110221,1.9477290371956626,4.127134385045092,1.7290363184621627,1.3862943611198906,1.9205433798053353
4.962844630259907,4.0872716561389675,3.5553480614894135,2.92320468958704,2.5649493574615367,2.8583084566717236,4.248495242049359,3.2901124878380275,1.3862943611198906,1.6905238331556656
4.962844630259907,4.1512484621088,3.5553480614894135,4.425197433684913,2.5649493574615367,0.037265375459347716,4.23410650459726,4.919564972345188,1.3862943611198906,0.17619491459542946
