RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
4.454347296253507,5.112958552709485,3.044522437723423,3.1324916786314416,4.31748811353631,3.9462715619334965,1.3862943611198906,1.0310430254238616
4.454347296253507,5.269857294460467,3.044522437723423,1.6173720917807408,4.31748811353631,2.442565341109089,1.3862943611198906,0.41849349383319157
4.454347296253507,4.109333646528507,3.044522437723423,3.5321915779056043,4.330733340286331,4.627264213892119,1.3862943611198906,1.5365826813918764
4.51085950651685,7.981717384288461,3.091042453358316,4.284274458888094,4.709530201312334,2.967996151234658,1.3862943611198906,1.140960164087398
4.672828834461906,7.317621117875623,3.1780538303479458,4.669103842972401,4.736198448394496,3.2073010236708863,1.3862943611198906,1.4362670344720008
4.672828834461906,4.992195204213763,3.1780538303479458,2.1309057888373486,4.74493212836325,4.232647068286305,1.3862943611198906,0.0
4.6913478822291435,5.510528961630714,3.258096538021482,2.1397961907389362,4.574710978503383,3.334351552577231,1.3862943611198906,0.4233855740210054
4.955827057601261,6.281196988122506,3.258096538021482,2.717669274417208,3.970291913552122,3.466189316292386,1.3862943611198906,1.6321546196385075
4.969813299576001,6.410814982622267,3.258096538021482,3.6315550056418298,4.143134726391533,2.8907210106981727,1.3862943611198906,0.47286558446060833
4.969813299576001,7.089821434233981,3.258096538021482,3.038051223081714,4.127134385045092,5.103687227454442,1.3862943611198906,2.0643319805093148
4.962844630259907,4.59031831763966,3.5553480614894135,2.553611256806321,4.248495242049359,4.457049069198052,1.3862943611198906,0.7485274650828364
4.962844630259907,6.3058164725149695,3.5553480614894135,2.2947631088597955,4.23410650459726,3.9615259732741,1.3862943611198906,1.5079938167225466
