RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,S00108_Actual,S00108_Simulated
4.454347296253507,5.112958552709485,3.044522437723423,3.1324916786314416,2.70805020110221,2.842322744116647,1.3862943611198906,1.0310430254238616
4.454347296253507,6.4391879896571,3.044522437723423,4.328297530055781,2.70805020110221,2.397606722353929,1.3862943611198906,1.4522433026114843
4.454347296253507,5.738121500055601,3.044522437723423,2.361981011849237,2.70805020110221,2.8920686488450698,1.3862943611198906,1.9043397931659696
4.51085950651685,4.369571471587795,3.091042453358316,3.3658265877184403,2.70805020110221,3.7653644523272347,1.3862943611198906,0.7657212605890442
4.672828834461906,6.128160118344073,3.1780538303479458,4.911856733116117,2.70805020110221,7.499062271683922,1.3862943611198906,0.0
4.672828834461906,3.844561248161424,3.1780538303479458,6.8174170095178805,2.70805020110221,2.5135918848595318,1.3862943611198906,3.126678850259991
4.6913478822291435,5.435126845279121,3.258096538021482,3.181340416533534,2.70805020110221,4.337861055779632,1.3862943611198906,1.9422892239337632
4.955827057601261,6.71648310795064,3.258096538021482,3.2732827471815122,2.70805020110221,3.840958245315472,1.3862943611198906,1.4047543208388893
4.969813299576001,5.51157127467463,3.258096538021482,1.9680537632124782,2.70805020110221,3.996126788999816,1.3862943611198906,1.4856495292651695
4.969813299576001,3.805571619368083,3.258096538021482,4.300694050584855,2.70805020110221,6.558525234099497,1.3862943611198906,1.5925401158977728
4.962844630259907,3.825951464745785,3.5553480614894135,3.38572103202871,2.5649493574615367,3.7821708345053593,1.3862943611198906,0.0
4.962844630259907,3.9477060807132602,3.5553480614894135,2.140803898511899,2.5649493574615367,4.34018393034445,1.3862943611198906,0.0
