,Actual_last_5_vals,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29,Simulated_30,Simulated_31,Simulated_32,Simulated_33,Simulated_34,Simulated_35,Simulated_36,Simulated_37,Simulated_38,Simulated_39,Simulated_40,Simulated_41,Simulated_42,Simulated_43,Simulated_44,Simulated_45,Simulated_46,Simulated_47,Simulated_48,Simulated_49
159,17351.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,17355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,17358.333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,17361.666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,17365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757,14431.976389678757
165,,10087.429513014094,12516.21686558475,16310.282944928782,18085.934563728086,16014.628116968528,16546.969302847814,10071.714626500549,16276.883136784965,14652.633863659856,16511.361602513796,14144.071708827738,10395.508929684745,16517.24135011073,12681.295368928693,16919.04829355287,16001.731169362345,12060.58708671882,16690.82251658116,11450.49399284741,14472.69404634972,13517.983376588905,15012.04585223959,16480.385891972393,11709.12554314629,15863.492114800909,18097.07632123755,15885.430417378591,12689.125296964428,13828.232487217236,16697.996179133774,12954.520714211845,12206.63909660375,15020.422143038002,14669.666252330378,13813.73907650275,14869.261192768481,17161.377690884772,14205.22309075738,13763.519568821806,13499.972575788233,13568.918027766078,17344.572940748403,13899.38969032083,14901.785143014666,13501.08629075533,13282.947087114157,16302.841458277138,14690.432901319018,11714.14201065372,13941.757539122958
166,,13730.46344957519,16502.381721641137,13783.484971556463,14195.597392320717,15189.998855318647,15734.052066725904,13415.049127426068,11846.701038778709,12123.72962085883,16001.925245552842,13663.585851849082,10923.367915329269,14522.64477701011,13690.796048446675,14658.019403521324,14288.399261663177,13106.410652303035,14752.738577107917,19476.248771863306,16814.399407741068,14459.258620424082,13021.004164830203,15648.75810983311,16024.566936218805,14694.119758895416,16232.12075397557,13384.318665948402,12720.576769554322,12078.165361400286,15721.600228849318,16392.91833713991,15876.605488787078,12761.316287015225,16060.644778147309,13539.006268036119,15786.687929979009,17758.587431136544,11643.913225344944,11914.287141314093,16381.562926133021,11417.800209141027,10582.670840086788,13003.0334886995,14692.326102468433,17666.894546137002,15766.896868403033,17041.249022441094,12992.21311199071,15731.822075546152,17210.274262983294
167,,18840.614313932543,12167.220055698961,13901.467268071778,15654.474171945567,14114.185865836518,17094.547947138955,12842.946529802513,16826.68587233467,17618.979816622148,12747.777512917619,18971.663231099337,15720.135276942037,15643.070164423369,16735.556534185678,12630.014177056099,16132.53888487535,14505.19836990918,13512.640564493551,13504.29453131564,15209.17759743221,10992.489607406385,10605.922668149075,10120.517199452075,14426.658464695209,10455.117100903986,13663.454946241525,16291.218976827759,15341.843227163017,14655.354430956126,10105.805382701228,8815.324685923915,12257.524255688793,16671.31902767032,14476.090211003986,15648.115740767975,15278.116918073236,16051.52571366343,16470.89209031407,14775.589145358783,14404.32756251502,15318.728740810635,12516.639810438111,14189.594329703705,12233.187260355124,11453.970714099818,13309.833528804844,12081.65012016045,14916.512045638628,15684.96279928763,14636.677231424277
168,,16085.569876106238,14587.734876975983,11687.982850125907,14897.77898751108,16933.208294969132,18185.248681708184,14290.020774792305,14286.795129431823,12569.40758656355,12706.84515219618,17527.780542721244,12605.290288857821,16413.907332852872,16122.623571059019,16085.036069150628,12483.42371104897,15400.738129195088,10788.190219929838,14060.922992898659,13927.332715278146,14769.806628495113,13075.054152191951,15247.11946191582,13359.443049303132,13963.282344986092,16200.870862891272,12479.04797350366,15127.97902758614,14906.253896060296,13599.107865245365,13465.493087834873,15227.412963677105,14175.342178652201,14419.998896927298,14091.204433410512,15618.120716159723,12326.237197561071,12402.11549532511,14175.119162407087,12493.493486287767,18218.540069371564,14795.998634586856,13332.788597847288,12679.788330104038,15245.86076294564,11704.307832807452,14158.769497884054,16518.879945525878,15533.470993577672,13589.550580949872
