RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00112_Actual,S00112_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated
5.159055299214529,5.41314405009518,5.170483995038151,5.634506233527824,5.627621113690637,5.480459152123185,3.8066624897703196,4.348547832773054,4.465908118654584,4.783498160118609
5.1298987149230735,5.483762753501316,5.1647859739235145,5.934385532275868,5.634789603169249,6.5084085475450975,3.784189633918261,4.860388280562054,4.454347296253507,4.207595084126201
5.762051382780177,5.60504173925579,5.817111159963204,5.015450514957226,5.8944028342648505,5.297689415801532,4.430816798843313,5.513963160735047,4.663439094112067,3.693091130071241
5.726847747587197,4.8180992870478665,5.814130531825066,6.047601319659374,5.921578419643816,4.782724426126956,4.430816798843313,5.663440404749685,4.663439094112067,4.818001879829546
5.739792912179234,5.033175961196481,5.817111159963204,5.737407765774299,5.963579343618446,6.340762897793555,4.442651256490317,3.77121866643711,4.663439094112067,3.99059254665569
5.723585101952381,4.897974682066555,5.820082930352362,5.845085679066061,5.968707559985366,4.9768322307461546,4.418840607796598,4.825873346365205,4.663439094112067,6.156191755963871
5.726847747587197,5.047858671289492,5.823045895483019,5.800179813826677,5.968707559985366,5.578437916241634,4.406719247264253,4.477685331427692,4.663439094112067,5.4701546567878285
5.720311776607412,5.670664843992638,5.811140992976701,5.272644063382144,5.983936280687191,5.8622594915032975,4.382026634673881,4.464788709738274,4.663439094112067,4.337520564652427
5.707110264748875,5.408225399678376,5.811140992976701,6.244616745109929,5.726847747587197,5.135551750479771,4.356708826689592,4.063004907724657,4.663439094112067,4.513721203329178
5.733341276897746,4.539564366315833,5.811140992976701,5.92677624966161,5.739792912179234,5.1931699915027565,4.356708826689592,3.8795256782432253,4.663439094112067,4.361546571508027
5.717027701406222,5.544268068280917,5.808142489980444,5.21317842440104,5.726847747587197,5.612349934959204,4.356708826689592,3.8849817145424614,4.663439094112067,4.349586566017224
5.707110264748875,5.6094356277511475,5.755742213586912,5.858298456479162,5.755742213586912,5.305879001445565,4.343805421853684,3.893328249933261,4.672828834461906,4.93492747643951
