DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
2.302585092994046,3.347618273965604,4.820281565605037,4.297647226198552,2.9444389791664403,4.16307628472785
2.302585092994046,0.8710737567960107,4.820281565605037,3.388179474737147,2.9444389791664403,4.763327589531965
2.302585092994046,3.4781360804224053,4.820281565605037,5.1128987784170565,2.9444389791664403,2.380548262649199
2.302585092994046,2.9732743455567596,4.820281565605037,4.369057315122938,2.9444389791664403,4.071134772238725
2.302585092994046,3.0842732303311005,4.820281565605037,3.824430800178654,2.9444389791664403,5.172479453271675
2.302585092994046,4.206059984633391,4.825108606353353,4.966293415337744,2.9444389791664403,3.0178759401118773
2.302585092994046,3.259653509193116,4.829912458665998,3.6755100976106196,2.9444389791664403,3.310404963117486
2.302585092994046,3.0235456679413586,4.8346933442663405,4.622851036899561,2.9444389791664403,5.632220598614361
2.302585092994046,3.2962917973335997,4.839451481712757,5.104039404128553,2.9444389791664403,4.628072429379598
2.302585092994046,2.1286687067985817,4.844187086458591,4.335978661051582,2.9444389791664403,5.637657300168085
2.302585092994046,4.305266503560449,4.845498562056402,5.2261273447636585,2.9444389791664403,5.010719610223583
2.302585092994046,2.1288513596531784,4.846808319938465,4.767242043531861,2.9444389791664403,4.290104705881088
2.302585092994046,0.13791034157235504,4.848116364598481,4.569260478946602,2.9444389791664403,4.887287868488086
2.302585092994046,2.2459951037986303,4.8494227005125365,5.245763457384896,2.9444389791664403,6.694154657357791
2.302585092994046,2.1234936624723346,4.850727332139201,2.965295840943081,2.9444389791664403,3.7008147300286716
2.302585092994046,2.437408203481133,4.852030263919617,2.8822248043669614,2.9444389791664403,4.698801656167331
2.302585092994046,0.8685584468447995,4.853331500277589,3.2605694968696515,2.9444389791664403,5.0745468103891325
2.302585092994046,4.8450954306429095,4.854631045619675,3.515371446884377,2.9444389791664403,3.6305505976977352
2.302585092994046,2.4884182325088657,4.855928904335275,5.6646709918312785,2.9444389791664403,3.938133587386218
2.302585092994046,4.074550100625505,4.857225080796721,4.9783217230912005,2.9444389791664403,3.3437130844022116
2.302585092994046,2.6229521729745913,4.858519579359367,4.175302221405113,2.9444389791664403,3.371579063270602
2.302585092994046,2.364741971283407,4.859812404361672,4.5557730462065695,2.9444389791664403,5.868569631599846
2.302585092994046,0.5972983531383389,4.90527477843843,5.453019269496619,2.9444389791664403,5.9527725134078455
2.302585092994046,2.355658009521627,4.948759890378168,5.371386893594511,2.9444389791664403,4.121320723089024
