RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
4.454347296253507,5.156074832496742,3.044522437723423,3.697697263544742,2.70805020110221,3.461420735491537,4.31748811353631,4.495037878812216,1.3862943611198906,1.6954226165372368
4.454347296253507,4.521336776227304,3.044522437723423,2.3866745297455214,2.70805020110221,3.8552240250129417,4.31748811353631,4.43328723203401,1.3862943611198906,0.7233819229032276
4.454347296253507,4.9618926608397995,3.044522437723423,4.503901705100909,2.70805020110221,3.303142967299862,4.330733340286331,4.2783214817371,1.3862943611198906,2.0026295247276753
4.51085950651685,5.28294335473901,3.091042453358316,4.485420596690728,2.70805020110221,4.455513246062298,4.709530201312334,4.866667531134587,1.3862943611198906,1.7415616360368371
4.672828834461906,3.300819454888244,3.1780538303479458,3.902802904582327,2.70805020110221,2.6507881727959246,4.736198448394496,4.875666112997896,1.3862943611198906,1.7540118760736338
4.672828834461906,4.92722480302201,3.1780538303479458,4.227625799084656,2.70805020110221,2.6233531195643387,4.74493212836325,4.732095325478017,1.3862943611198906,2.1184849519142896
4.6913478822291435,5.439286537603293,3.258096538021482,4.515806077370851,2.70805020110221,3.663185662343182,4.574710978503383,3.4989276201925517,1.3862943611198906,1.6354322901328646
4.955827057601261,5.433688437095929,3.258096538021482,4.9182510906388135,2.70805020110221,3.380588029729062,3.970291913552122,4.499444754068816,1.3862943611198906,2.1438701822562707
4.969813299576001,4.702560979250667,3.258096538021482,3.58664807186757,2.70805020110221,3.148380005617444,4.143134726391533,4.352422955604692,1.3862943611198906,2.1725834313128725
4.969813299576001,3.536872698754358,3.258096538021482,4.107720065586568,2.70805020110221,3.3946074552080927,4.127134385045092,4.616966325576959,1.3862943611198906,2.1658769704560337
4.962844630259907,4.527005053120282,3.5553480614894135,3.5209231095468794,2.5649493574615367,2.348436861756846,4.248495242049359,4.5081690026597485,1.3862943611198906,2.33390710606207
4.962844630259907,5.291007334791494,3.5553480614894135,3.805082348468035,2.5649493574615367,1.7530621802602462,4.23410650459726,4.390061289046624,1.3862943611198906,1.903924143487693
