RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.13061218153693147,0.0,0.19903756679548096,0.0,0.0627247989161265,0.45515595477864185,2.067760709232467,0.0,0.4722537343060408,0.0,0.11086315715662766,0.0,0.05140755755911177,0.04691691978775157,0.6143608525794846,0.0,0.5357143502130369,0.04691691978775157,0.794859720905366
0.0,0.060296247954325685,0.0,0.537252416776336,0.0,0.14617706599551938,0.4213499186481877,1.1469179327094925,0.0,0.7539851910416855,0.0,0.058921277462794346,0.0,0.15366737695041502,0.04274154837727106,0.0,0.0,0.0,0.04274154837727106,1.213804322397347
0.0,0.0,0.0,0.0,0.0,0.33782378994705564,0.3863609267981219,2.291248812493209,0.0,0.7666363241586625,0.0,0.5807044015202926,0.0,0.0,0.038548670117235125,0.47400711970561304,0.0,1.4199953013781879,0.038548670117235125,1.544025220349802
0.0,0.0,0.0,0.2764346131603411,0.0,0.2216622731111717,0.3501031787754985,1.882399780545355,0.0,1.1316799049866968,0.0,0.0,0.0,0.271289032298413,0.03433813758089155,0.8710662574528161,0.0,1.5786998084098705,0.03433813758089155,0.9509273604483874
0.0,0.3485713933592953,0.0,0.0,0.0,0.10425703928665625,0.3124811869859139,2.953676142779205,0.0,0.0,0.0,0.3355813092280068,0.0,0.11995128630551821,0.03010980147137047,0.6955205083501276,0.0,0.2732751618134907,0.03010980147137047,0.46454512898087025
0.0,0.5160698563836972,0.0,0.0,0.0,0.6508197560138742,0.27338826119463594,2.506279999071464,0.0,0.974006540930106,0.0,0.034991139384071,0.0,0.055230887579779356,0.025863510589919297,0.7980881192006183,0.0,1.179692435693859,0.025863510589919297,0.7516720722549588
0.0,0.0462527123059239,0.0,0.9850075659002231,0.0,0.0,0.23270468455819335,3.632903767573406,0.0,0.20061196159841405,0.0,1.150897437385667,0.0,0.10532457265451167,0.021599111803461798,0.7661047941132431,0.0,0.0,0.021599111803461798,0.2617495218107566
0.0,0.0,0.0,0.41233993055607704,0.0,0.14426283956593128,0.19029550263309924,3.140030995015337,0.0,0.0,0.0,0.0,0.0,0.34982080327732856,0.017316450011460875,0.1770445297040903,0.0,1.1159294202731815,0.017316450011460875,0.643169804154349
0.0,0.17615754965358377,0.0,0.05494720742540812,0.0,0.09745021349253295,0.1460078224319825,0.09226318329012839,0.0,1.4409171990005847,0.0,0.0,0.0,0.0,0.0130153681120703,0.6661165303621596,0.0,0.0,0.0130153681120703,1.0651684006877566
0.0,0.0,0.0,0.7287191310660635,0.0,0.19647266306336167,0.09966748517328153,1.0794575628873502,0.0,0.2778220616118504,0.0,0.0,0.0,0.0,0.008695706967553821,0.23609566551072708,0.0,0.732637374356321,0.008695706967553821,0.0
0.0,0.18144916997700936,0.0,0.19416514721686493,0.0,0.25113585218610474,0.05107492993641579,2.2988777068720063,0.0,1.0032536738484845,0.0,0.0,0.0,0.0,0.00435730536895569,0.6850743091173602,0.0,0.5654518884559256,0.00435730536895569,2.1261416126186132
0.0,0.4317638550055305,0.0,0.0,0.0,0.0,0.0,1.5404779875490617,0.0,0.0,0.0,0.0,0.0,0.023465777091493566,0.0,0.0,0.0,0.01821353407555293,0.0,1.1144581912191251
