Index,Lower,Upper
317,22674.81,27217.67
318,22584.82,27372.22
319,21226.46,28270.25
320,21261.52,28319.64
321,21326.68,28397.56
322,21407.94,28589.62
323,21466.5,28712.92
324,21517.35,28875.9
325,21470.34,29179.97
326,21466.16,29397.97
327,21476.53,29536.75
328,21483.75,29678.67
329,21517.74,29729.12
330,21521.75,29874.25
331,21522.93,30022.21
332,21505.49,30065.47
333,21537.63,30117.77
334,21620.44,30178.04
335,21600.33,30223.96
336,21535.49,30240.94
337,21398.06,30226.56
338,21393.08,30380.68
339,21421.69,30436.52
340,21378.77,31554.53
341,21440.4,30462.51
342,21551.4,30618.77
343,21627.46,30628.76
344,21653.85,30686.82
345,21679.77,30745.35
346,21705.22,30804.34
347,21730.22,30863.79
348,21854.46,30942.12
349,21878.85,31002.18
350,21902.79,31062.69
351,21894.45,31220.17
352,21917.96,31281.1
353,21941.04,31342.47
354,21963.69,31404.26
355,22038.73,31487.7
356,21873.9,31500.71
357,21895.06,31564.0
358,21915.82,31627.69
359,21936.18,31691.77
360,21956.16,31756.24
361,21975.75,31821.1
362,21994.96,31886.34
363,22120.5,32854.76
364,22083.21,34290.0
365,21949.57,33703.42
366,21869.88,33996.94
367,21841.22,34174.75
368,21866.94,34233.47
369,22269.95,35181.51
370,21886.59,34474.93
371,21707.8,34598.58
372,21675.4,34780.12
373,21700.11,34839.85
374,21723.23,34933.9
375,21930.73,35051.36
376,21954.63,35111.9
377,21864.35,35416.01
378,21770.38,35723.81
379,21076.8,37213.44
380,21138.19,37265.81
381,21025.34,37592.49
382,21053.33,37648.95
383,19590.67,40519.2
384,19542.37,40716.64
385,19652.26,40807.24
386,17436.51,48845.52
387,15638.92,46626.43
388,15674.92,46674.88
389,15903.44,46838.4
390,16089.43,47021.27
391,15962.95,46924.6
392,15998.38,46973.62
393,16033.66,47022.78
394,15792.14,47105.85
395,15827.3,47155.13
