Index,Lower,Upper
259,45412.58,55929.07
260,45573.82,56121.23
261,45732.14,56316.3
262,45887.58,56514.26
263,46040.18,56715.07
264,46189.96,56918.69
265,46336.97,57125.08
266,46481.26,57334.19
267,46622.87,57545.98
268,46761.86,57760.39
269,46898.28,57977.37
270,47032.18,58196.86
271,47186.07,58476.83
272,47315.88,58700.42
273,46287.53,58767.55
274,44031.43,59847.26
275,44154.83,60077.25
276,43572.06,60630.97
277,43601.68,60782.3
278,43431.87,61197.92
279,42376.93,61948.95
280,42493.5,62196.57
281,42633.69,62427.16
282,42752.89,62661.36
283,42851.94,62898.33
284,42968.96,63134.71
285,43126.23,63559.77
286,43244.55,63794.85
287,43361.68,64031.12
288,43477.64,64268.56
289,43592.46,64507.13
290,43426.61,64619.32
291,43542.27,64857.06
292,43656.82,65095.91
293,43541.52,65392.15
294,43655.15,65631.92
295,43754.19,65895.37
296,43903.08,66026.05
297,44013.06,66269.46
298,44122.05,66513.87
299,44230.05,66759.27
300,44101.3,67699.28
301,43607.38,69015.25
302,19687.41,99938.4
303,11411.8,110793.66
304,11599.3,110959.55
305,11747.75,111091.65
306,10594.9,112650.18
307,7821.29,116463.98
308,8009.06,116629.61
309,8196.54,116795.52
310,8367.98,117004.77
311,8710.37,117234.28
312,8881.64,117294.76
313,9217.61,117546.56
314,9399.31,117727.35
315,9590.24,117880.73
316,9776.12,118048.24
317,9956.91,118229.95
318,10142.2,118398.05
319,10327.21,118566.45
320,10511.92,118735.13
321,11684.72,119086.88
322,11871.53,119253.47
323,11713.58,119451.06
