Index,Lower,Upper
183,14090.42,16284.73
184,14103.23,16306.37
185,14180.26,16413.37
186,14191.87,16436.21
187,14202.52,16460.01
188,14337.44,16609.77
189,14148.8,16560.54
190,14485.19,16814.38
191,14660.67,17086.24
192,14670.32,17111.04
193,14655.12,17097.36
194,14921.75,17574.46
195,15033.9,18054.87
196,14959.16,17669.29
197,14669.02,17468.21
198,14674.58,17497.09
199,14650.69,17475.49
200,14704.2,17573.73
201,15146.31,17900.73
202,15168.85,17985.35
203,15175.46,18013.2
204,14934.89,18301.68
205,14940.67,18330.35
206,14955.04,18413.77
207,14968.57,18498.03
208,14973.37,18527.68
209,14999.7,18725.81
210,15004.53,18755.44
211,15001.68,18729.39
212,15005.13,18760.4
213,15008.09,18791.89
214,15010.57,18823.86
215,15012.58,18856.31
216,15014.12,18889.21
217,15033.02,19031.44
218,15153.43,19179.1
219,15152.64,19202.4
220,15153.57,19235.92
221,15154.08,19269.87
222,15154.18,19304.21
223,15153.89,19338.96
224,15397.29,19643.95
225,15417.87,19704.55
226,15417.38,19739.49
227,15531.69,19885.72
228,15436.49,19822.68
