Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,linear,stan-mcmc,12977.66,53.05,14766.72,218056133.89
collections,DLT,linear,stan-mcmc,1903.98,3.89,2337.49,5463879.25
commons-fileupload,DLT,logistic,stan-mcmc,149.6,2.56,193.74,37535.57
jxpath,DLT,flat,stan-map,1318.06,4.7,1887.84,3563927.62
commons-jelly,DLT,linear,stan-map,1646.58,4.35,1795.63,3224298.78
dbutils,DLT,loglinear,stan-map,265.91,3.58,442.65,195941.16
cocoon,DLT,linear,stan-mcmc,100913.65,38.69,105763.06,11185823898.79
cayenne,DLT,linear,stan-mcmc,7046.19,3.2,7189.75,51692479.41
hive,DLT,linear,stan-mcmc,12854.73,1.96,15029.53,225886900.91
bcel,DLT,logistic,stan-map,1297.21,2.33,1726.34,2980249.09
zookeeper,DLT,linear,stan-mcmc,751.77,1.19,952.52,907285.26
felix,DLT,linear,stan-map,15979.55,6.23,20331.76,413380549.4
beanutils,DLT,linear,stan-map,1548.21,2.78,1835.19,3367927.28
commons-cli,DLT,linear,stan-map,830.24,11.41,1633.66,2668834.13
commons-exec,DLT,linear,stan-map,1202.91,23.24,1212.61,1470429.56
net,DLT,linear,stan-map,593.18,2.1,651.35,424259.47
batik,DLT,loglinear,stan-map,13136.05,11.27,25747.26,662921575.2
ognl,DLT,linear,stan-map,326.76,1.24,420.81,177083.22
santuario,DLT,linear,stan-map,11873.49,10.15,13975.19,195306054.25
daemon,DLT,linear,stan-map,333.07,8.22,376.06,141421.85
commons-jexl,DLT,linear,stan-mcmc,1430.49,8.84,1711.62,2929647.27
httpcore,DLT,linear,stan-map,2432.45,3.07,3651.47,13333267.44
thrift,DLT,linear,stan-map,695.84,3.38,784.04,614720.49
configuration,DLT,linear,stan-mcmc,945.72,2.38,1196.27,1431067.19
commons-io,DLT,linear,stan-map,663.28,2.13,1637.98,2682967.85
httpclient,DLT,flat,stan-mcmc,7406.65,11.19,10090.32,101814480.23
archiva,DLT,linear,stan-map,16594.04,14.73,19362.38,374901712.17
validator,DLT,loglinear,stan-mcmc,217.8,1.32,459.62,211250.43
dbcp,DLT,logistic,stan-mcmc,287.13,1.99,430.83,185614.79
codec,DLT,linear,stan-map,405.82,2.41,491.22,241295.24
vfs,DLT,linear,stan-map,1003.11,3.82,1230.6,1514372.05
