Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,linear,stan-mcmc,13030.03,53.26,14825.33,219790526.87
collections,DLT,linear,stan-mcmc,1950.71,3.97,2357.27,5556700.17
commons-fileupload,DLT,flat,stan-mcmc,156.24,2.67,202.31,40929.86
jxpath,DLT,flat,stan-map,1317.84,4.7,1887.63,3563141.51
commons-jelly,DLT,linear,stan-map,1649.44,4.36,1798.81,3235701.85
dbutils,DLT,loglinear,stan-map,268.79,3.62,445.94,198859.9
cocoon,DLT,linear,stan-mcmc,100842.41,38.66,105698.68,11172210064.08
cayenne,DLT,linear,stan-map,7042.2,3.19,7187.13,51654852.25
hive,DLT,linear,stan-map,14223.86,2.17,16412.82,269380575.27
bcel,DLT,logistic,stan-map,1406.74,2.5,1752.23,3070321.83
zookeeper,DLT,linear,stan-mcmc,810.94,1.28,1014.74,1029702.29
felix,DLT,linear,stan-map,15978.78,6.23,20330.88,413344605.4
beanutils,DLT,linear,stan-map,1546.29,2.77,1832.77,3359053.33
commons-cli,DLT,linear,stan-map,832.52,11.44,1635.87,2676086.65
commons-exec,DLT,linear,stan-mcmc,1196.11,23.11,1205.51,1453252.03
net,DLT,linear,stan-map,580.05,2.05,638.17,407266.82
batik,DLT,loglinear,stan-map,13136.04,11.27,25747.25,662921066.16
ognl,DLT,linear,stan-map,327.02,1.24,421.1,177323.96
santuario,DLT,linear,stan-mcmc,11726.15,10.02,13827.6,191202424.29
daemon,DLT,linear,stan-map,318.89,7.87,360.16,129714.53
commons-jexl,DLT,linear,stan-mcmc,1467.21,9.07,1755.47,3081661.84
httpcore,DLT,linear,stan-mcmc,2438.5,3.08,3659.58,13392524.91
thrift,DLT,linear,stan-map,642.44,3.12,725.87,526884.09
configuration,DLT,linear,stan-mcmc,905.15,2.28,1157.46,1339719.63
commons-io,DLT,linear,stan-mcmc,677.64,2.18,1659.5,2753948.78
httpclient,DLT,logistic,stan-mcmc,7440.33,11.24,10156.56,103155655.37
archiva,DLT,linear,stan-mcmc,16774.63,14.88,19580.72,383404613.51
validator,DLT,loglinear,stan-mcmc,216.13,1.31,464.13,215417.08
dbcp,DLT,flat,stan-mcmc,302.3,2.1,462.14,213569.67
codec,DLT,linear,stan-mcmc,373.56,2.22,467.29,218360.2
vfs,DLT,linear,stan-mcmc,956.15,3.64,1183.65,1401021.35
