Index,Lower,Upper
342,55644.83,55948.3
343,55561.72,56067.69
344,55475.36,56167.28
345,55402.57,56281.44
346,55317.27,56402.36
347,55264.78,56492.82
348,55163.31,56564.5
349,55073.33,56674.57
350,54992.48,56777.81
351,54921.27,56879.46
352,54821.54,56995.82
353,54773.55,57098.46
354,54691.17,57137.96
355,54624.41,57227.19
356,54532.01,57327.71
357,54500.96,57390.66
358,54446.36,57504.36
359,54400.21,57559.48
360,54326.01,57681.93
361,54305.33,57783.83
362,54293.31,57876.24
363,54285.11,57958.22
364,54239.14,58034.53
365,54201.97,58153.38
366,54121.98,58253.79
367,54106.29,58321.94
368,54061.07,58242.78
369,54070.73,58259.36
370,54018.89,58395.85
371,53993.97,58379.32
372,54014.02,58477.87
373,54011.15,58634.39
374,53986.42,58671.95
375,53973.45,58711.97
376,53939.63,58764.85
377,53888.82,58780.02
378,53882.66,58814.66
379,53908.91,58784.44
380,53881.61,58878.83
381,53867.86,58935.61
382,53896.1,58962.79
383,53947.76,59050.05
384,53910.28,59071.17
385,53936.39,59232.22
386,53965.28,59307.11
387,53977.31,59332.31
388,53936.32,59406.54
389,53908.4,59449.74
390,53866.41,59459.71
391,53634.51,59479.76
392,53746.1,59570.66
393,53695.15,59664.52
394,53623.84,59690.82
395,53634.91,59689.47
396,53575.89,59693.1
397,53450.77,59753.22
398,53436.06,59780.7
399,53405.72,59755.16
400,53411.27,59875.96
401,53386.32,59996.23
402,53388.48,60087.17
403,53388.15,60168.52
404,53331.71,60268.95
405,53318.16,60414.5
406,53314.85,60447.95
407,53322.93,60483.25
408,53288.95,60473.94
409,53258.39,60454.02
410,53280.8,60461.93
411,53256.21,60476.1
412,53290.78,60456.66
413,53259.29,60474.58
414,53207.62,60461.49
415,53199.77,60483.11
416,53188.96,60492.55
417,53228.34,60578.0
418,53259.06,60665.01
419,53292.16,60696.69
420,53289.07,60698.35
421,53274.22,60762.01
422,53336.49,60820.45
423,53287.37,60849.7
424,53263.22,60787.05
425,53288.88,60751.08
426,53251.29,60842.77
