Index,Lower,Upper
42,61806.1,63699.72
43,61474.48,64092.58
44,61111.28,64551.69
45,59178.72,64269.77
46,58861.76,63934.03
47,59152.26,64273.2
48,59304.44,64489.04
49,59408.93,64659.87
50,59497.92,64823.16
51,59651.84,64888.48
