Index,Lower,Upper
299,22992.95,34215.14
300,22810.53,34527.07
301,22466.1,35066.26
302,21951.14,35854.35
303,21243.47,36740.79
304,20366.5,37750.0
305,19447.73,38875.48
306,18463.82,40104.38
307,17406.48,41393.66
308,16342.68,42697.39
309,15166.03,43862.39
310,15264.87,43890.71
311,15363.27,44078.58
312,15426.31,44213.89
313,15431.26,44277.03
314,15451.64,44324.17
315,15456.08,44366.48
316,15560.85,44522.82
317,15625.22,44514.12
318,15704.41,44493.24
319,15841.96,44468.1
320,15927.43,44508.59
321,16074.32,44578.46
322,16112.04,44747.92
323,16108.94,44825.13
324,16144.12,44889.05
325,15997.04,45101.91
326,15883.75,45288.21
327,15864.79,45445.41
328,15872.57,45654.26
329,15876.48,45772.6
330,15840.98,45883.84
331,15858.48,46016.54
332,15899.94,46163.54
333,15931.18,46307.74
334,16002.58,46419.75
335,15972.34,46248.21
336,14632.68,47041.6
337,14751.45,47356.31
338,14816.46,47636.82
339,14758.95,47746.9
340,14712.03,47845.81
341,14644.53,47944.53
342,14679.34,48159.66
343,14742.11,48156.89
344,14818.58,48143.08
345,14938.04,48136.02
346,15014.65,48185.36
347,15148.86,48268.28
348,15198.32,48426.35
349,15193.06,48506.07
350,15224.46,48574.15
351,15079.36,48785.39
352,14983.18,48954.92
353,14963.44,49113.26
354,14969.25,49324.42
355,14962.65,49453.64
356,14919.22,49573.16
357,14928.66,49714.28
358,14965.75,49866.01
359,15004.44,50003.11
360,15071.27,50120.06
361,15030.27,50093.26
362,15097.81,50152.87
363,15192.02,50344.94
364,15242.55,50492.74
365,15238.22,50565.18
366,15248.28,50622.64
367,15243.45,50674.21
368,15347.04,50836.08
369,15399.58,50843.55
370,15465.54,50840.24
371,15570.53,50844.86
372,15634.24,50904.28
373,15754.72,50998.13
