S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
3.044522437723423,3.6392436171574167,2.70805020110221,3.3928598908698673,4.31748811353631,4.451906016607533,1.3862943611198906,1.6701743144112084
3.044522437723423,5.05843992562744,2.70805020110221,2.5923386481676727,4.31748811353631,4.304689782679313,1.3862943611198906,1.7932112444879673
3.044522437723423,5.208078233667634,2.70805020110221,3.2816378051847654,4.31748811353631,4.587987004721436,1.3862943611198906,1.2666674530751618
3.044522437723423,4.856584568608814,2.70805020110221,3.771350222173186,4.31748811353631,4.713605785284609,1.3862943611198906,1.5127764207730197
3.044522437723423,4.125969262339739,2.70805020110221,2.566151816290635,4.31748811353631,5.271020903216984,1.3862943611198906,1.5688849754325465
3.044522437723423,3.0167512002410604,2.70805020110221,2.9428236066482434,4.330733340286331,4.557511250977749,1.3862943611198906,1.733401590972356
3.091042453358316,4.151771042979928,2.70805020110221,5.095866650193633,4.430816798843313,4.90996254576352,1.3862943611198906,1.2880658764565918
3.091042453358316,3.1565215202089374,2.70805020110221,2.9896506105687517,4.718498871295094,4.503220790552109,1.3862943611198906,1.9942346097327377
3.1780538303479458,3.2560763737047904,2.70805020110221,2.9614649836697593,4.624972813284271,4.418054018796435,1.3862943611198906,0.9422895868337069
3.1780538303479458,3.9707725271143457,2.70805020110221,2.1243701359938987,4.68213122712422,4.538761931379605,1.3862943611198906,1.8796483095366159
3.1780538303479458,3.703234278070478,2.70805020110221,3.370250149988525,4.736198448394496,4.427901817485169,1.3862943611198906,1.868261236578129
3.1780538303479458,3.528182677486877,2.70805020110221,2.464411171844526,4.74493212836325,4.762123124487744,1.3862943611198906,1.7739371591938315
3.1780538303479458,3.27444145594709,2.70805020110221,3.7164742735567673,4.736198448394496,4.867157233231217,1.3862943611198906,1.7043243636677794
3.258096538021482,4.293476712166218,2.70805020110221,5.54715209864593,4.564348191467836,4.460532152592517,1.3862943611198906,1.8022293560230047
3.258096538021482,3.414653266256043,2.70805020110221,3.539211657114735,3.784189633918261,4.4503215236645515,1.3862943611198906,1.8289655679451664
3.258096538021482,2.331479304326034,2.70805020110221,5.943649457511395,4.02535169073515,4.603816741398157,1.3862943611198906,1.960739354544761
3.258096538021482,4.456436892354842,2.70805020110221,4.385933420927875,4.060443010546419,4.604584853692011,1.3862943611198906,2.21411930495464
3.258096538021482,3.119291533587723,2.70805020110221,3.161426440586121,4.143134726391533,4.41535693363699,1.3862943611198906,1.2541760111194402
3.258096538021482,2.10193586976068,2.70805020110221,3.318883839798229,4.127134385045092,4.6433731134572085,1.3862943611198906,2.025198991114634
3.2188758248682006,4.5405754335233315,2.5649493574615367,2.1908865313578882,4.23410650459726,4.6946518131357085,1.3862943611198906,1.8007390192104216
3.5553480614894135,3.770978646206145,2.5649493574615367,4.685378343472507,4.23410650459726,4.135816153093819,1.3862943611198906,1.61002540445694
3.5553480614894135,3.329613963819041,2.5649493574615367,4.783902114488674,4.23410650459726,4.073423829124635,1.3862943611198906,1.3450575384000676
3.5553480614894135,4.149586075901051,2.5649493574615367,2.622373843473093,4.2626798770413155,4.620768472430563,1.3862943611198906,1.6264345858773113
3.5553480614894135,3.003322235960474,2.5649493574615367,5.395400026294984,4.248495242049359,4.236313172305859,1.3862943611198906,1.5603787907622673
