COMMIT_DATE,SQALE_INDEX
2002-07-17 01:17:06,0.0
2002-08-22 04:26:47,0.0
2002-09-21 04:26:47,0.0
2002-10-26 22:22:29,0.0
2002-11-25 22:22:29,0.0
2002-12-25 22:22:29,0.0
2003-01-24 22:22:29,0.0
2003-03-01 21:17:44,0.0
2003-04-27 17:30:07,0.0
2003-06-01 00:18:13,0.0
2003-07-01 00:18:13,0.0
2003-07-31 00:18:13,0.0
2003-08-30 00:18:13,0.0
2003-09-29 00:18:13,0.0
2003-10-29 00:18:13,0.0
2003-11-28 00:18:13,0.0
2003-12-28 00:18:13,0.0
2004-02-25 21:07:13,0.0
2004-03-26 21:07:13,0.0
2004-04-25 21:07:13,0.0
2004-05-25 21:07:13,0.0
2004-06-24 21:07:13,0.0
2004-07-24 21:07:13,0.0
2004-08-23 21:07:13,0.0
2004-10-11 05:06:33,0.0
2004-12-08 03:02:26,0.0
2005-01-07 03:02:26,0.0
2005-02-06 03:02:26,0.0
2005-03-08 03:02:26,0.0
2005-04-07 03:02:26,0.0
2005-05-07 03:02:26,0.0
2005-06-06 03:02:26,0.0
2005-07-06 03:02:26,0.0
2005-08-05 03:02:26,0.0
2005-09-04 03:02:26,0.0
2005-10-04 03:02:26,0.0
2005-11-27 23:04:45,0.0
2005-12-27 23:04:45,0.0
2006-01-26 23:04:45,0.0
2006-02-25 23:04:45,0.0
2006-03-27 23:04:45,0.0
2006-04-26 23:04:45,0.0
2006-06-09 15:43:27,0.0
2006-08-02 20:49:46,0.0
2006-09-01 20:49:46,0.0
2006-10-01 20:49:46,0.0
2006-11-27 01:06:53,0.0
2006-12-27 01:06:53,0.0
2007-01-26 01:06:53,0.0
2007-03-16 11:47:19,0.0
2007-04-15 11:47:19,0.0
2007-05-15 11:47:19,0.0
2007-06-27 00:59:16,0.0
2007-07-27 00:59:16,0.0
2007-09-05 09:21:19,0.0
2007-10-05 09:21:19,0.0
2007-11-04 09:21:19,0.0
2007-12-04 09:21:19,0.0
2008-01-03 09:21:19,0.0
2008-02-02 09:21:19,0.0
2008-03-03 09:21:19,0.0
2008-04-02 09:21:19,0.0
2008-05-02 09:21:19,0.0
2008-06-01 09:21:19,0.0
2008-07-01 09:21:19,0.0
2008-07-31 09:21:19,0.0
2008-08-30 09:21:19,0.0
2008-09-29 09:21:19,0.0
2008-10-29 09:21:19,0.0
2008-11-28 09:21:19,0.0
2009-01-18 01:40:13,0.0
2009-02-17 01:40:13,0.0
2009-03-19 01:40:13,0.0
2009-04-18 01:40:13,0.0
2009-05-18 01:40:13,0.0
2009-06-17 01:40:13,0.0
2009-07-17 01:40:13,0.0
2009-08-16 01:40:13,0.0
2009-09-15 01:40:13,0.0
2009-10-15 01:40:13,0.0
2009-11-14 01:40:13,0.0
2009-12-14 01:40:13,0.0
2010-01-13 01:40:13,0.0
2010-02-12 01:40:13,0.0
2010-03-14 01:40:13,0.0
2010-04-13 01:40:13,0.0
2010-05-13 01:40:13,0.0
2010-06-12 01:40:13,0.0
2010-07-13 06:56:47,0.0
2010-08-12 06:56:47,0.0
2010-09-11 06:56:47,0.0
2010-10-11 06:56:47,0.0
2010-11-10 06:56:47,0.0
2010-12-10 06:56:47,0.0
2011-01-09 06:56:47,0.0
2011-02-08 06:56:47,0.0
2011-03-10 06:56:47,0.0
2011-04-09 06:56:47,0.0
2011-05-09 06:56:47,0.0
2011-06-08 06:56:47,0.0
2011-07-08 06:56:47,0.0
2011-08-07 06:56:47,0.0
2011-09-06 06:56:47,0.0
2011-10-06 06:56:47,0.0
2011-11-05 06:56:47,0.0
2011-12-05 06:56:47,0.0
2012-01-04 06:56:47,0.0
2012-02-03 06:56:47,0.0
2012-03-04 06:56:47,0.0
2012-04-03 06:56:47,0.0
2012-05-03 06:56:47,0.0
2012-06-02 06:56:47,0.0
2012-07-02 06:56:47,0.0
2012-08-01 06:56:47,0.0
2012-08-31 06:56:47,0.0
2012-09-30 06:56:47,0.0
2012-10-30 06:56:47,0.0
2012-11-29 06:56:47,0.0
2012-12-29 06:56:47,0.0
2013-01-28 06:56:47,0.0
2013-03-05 21:16:26,0.0
2013-04-04 21:16:26,0.0
2013-05-04 21:16:26,0.0
2013-06-03 21:16:26,0.0
2013-07-25 16:16:15,0.0
2013-08-24 16:16:15,0.0
2013-09-23 16:16:15,0.0
2013-10-23 16:16:15,0.0
2013-11-22 16:16:15,0.0
2013-12-22 16:16:15,0.0
2014-02-06 10:14:24,0.0
2014-03-08 10:14:24,0.0
2014-04-07 10:14:24,0.0
2014-05-07 10:14:24,0.0
2014-06-06 10:14:24,0.0
2014-07-06 10:14:24,0.0
2014-08-05 10:14:24,0.0
2014-09-04 10:14:24,0.0
2014-10-04 10:14:24,0.0
2014-11-11 20:09:32,0.0
