Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-map,14921.93,61.25,16918.03,286219789.22
collections,ETS,stan-map,5073.02,9.75,6023.24,36279411.9
commons-fileupload,ETS,stan-map,188.5,3.2,261.21,68230.83
jxpath,ETS,stan-map,1316.87,4.7,1884.92,3552941.48
commons-jelly,ETS,stan-map,5174.18,13.56,5801.73,33660052.21
dbutils,ETS,stan-map,266.83,3.49,519.44,269816.51
cocoon,ETS,stan-map,108613.29,41.61,114015.44,12999521621.52
cayenne,ETS,stan-map,9422.52,4.27,9745.77,94980126.3
hive,ETS,stan-map,19002.31,2.79,27532.13,758018423.47
bcel,ETS,stan-map,1461.64,2.59,1782.72,3178088.91
zookeeper,ETS,stan-map,1456.25,2.3,1664.88,2771813.75
felix,ETS,stan-map,20015.75,7.83,24937.85,621896415.93
beanutils,ETS,stan-map,3957.42,7.04,4778.99,22838712.62
commons-cli,ETS,stan-map,2450.25,50.61,2715.74,7375243.0
commons-exec,ETS,stan-map,1310.4,25.29,1323.88,1752670.19
net,ETS,stan-map,1927.93,6.78,2120.67,4497259.58
batik,ETS,stan-map,13259.25,11.32,25631.11,656953782.44
ognl,ETS,stan-map,360.47,1.37,450.66,203090.29
santuario,ETS,stan-map,13679.76,11.71,15996.85,255899138.41
daemon,ETS,stan-map,362.52,8.95,408.23,166655.31
commons-jexl,ETS,stan-map,2919.26,18.19,3361.73,11301249.37
httpcore,ETS,stan-map,6224.53,7.97,7092.42,50302461.89
thrift,ETS,stan-map,1326.69,6.44,1498.53,2245598.76
configuration,ETS,stan-map,1979.34,4.92,2538.36,6443293.93
commons-io,ETS,stan-map,2760.16,9.48,3585.82,12858074.77
httpclient,ETS,stan-map,7696.39,11.58,10331.9,106748103.03
archiva,ETS,stan-map,24006.3,21.32,27846.04,775401994.46
validator,ETS,stan-map,335.12,2.06,586.59,344093.06
dbcp,ETS,stan-map,297.3,2.07,456.63,208507.4
codec,ETS,stan-map,1297.2,7.71,1471.22,2164494.45
vfs,ETS,stan-map,2525.56,9.64,2902.66,8425406.44
